Municipio;População residente;Perc População Rural; Unidade Domestica ; Rendimento mensal total domiciliar per capita nominal ;Perc Alfabetizacao;Perc Saneamento Adequado;Perc Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência;Perc Pessoas mais de 10 anos com rendimento;Perc Pessoas acima 25 anos com pelo menos fundamento completo;Perc Economicamente Ativa com Rendimento;IDHM 2010;IDHM Faixas;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010;Gini
Itamari;7903;26,12;2387;300;59,66;37,66;82,27;68,08;27,23;55,26;57,8;Médio Baixo;53,5;76,4;39,5;52,32
Itanagra;7598;69,37;2156;265;66,25;19,02;79,74;54,66;25,22;48,88;58,4;Médio Baixo;53,3;71;43,1;63,54
Itaquara;7678;39,98;2224;224;49,44;54,5;85,3;55,05;16;48,52;55,3;Baixo;54,5;74,9;36;57,08
Jaborandi;8973;66,12;2660;246;61,15;30,56;86,74;56,94;23,93;50,18;61,3;Médio Alto;54,1;75,6;41,8;63,54
Jussari;6474;24,68;2001;268;57,34;65,32;82,98;58,24;26,72;44,46;56,7;Médio Baixo;56,5;75,1;36,8;52,63
Jussiape;8031;61,8;2382;281;59,26;13,81;87,84;71,71;22,66;54,03;60,2;Médio Alto;55,8;76,3;39,7;45,87
Lajedo do Tabocal;8305;38;2437;219;57,11;0,62;83,23;63,26;19;51,37;58,4;Médio Baixo;55,3;68,6;42,9;47,13
Lamarão;9560;78,19;2452;189;52,97;15,7;82,52;52,97;16,69;51,3;51,8;Baixo;51,5;69,9;35,9;50,27
Macururé;8073;64,57;2098;230;63,19;0,33;81,33;56,82;30,6;50,47;60,4;Médio Alto;53,3;74,7;42,7;54,67
Maetinga;7038;59,97;1982;245;50,18;24,57;85,16;64,57;14,06;57,36;53,8;Baixo;50,3;69,4;38,4;46,07
Maiquinique;8782;21,25;2700;329;60,74;71,19;82,93;67,5;26,8;53,51;57,6;Médio Baixo;53,5;75,3;45,3;47,03
Malhada de Pedras;8468;61,81;2366;242;60,34;9,38;85,4;58,62;18,31;47,54;57,8;Médio Baixo;55,4;78,9;37;48,43
