Municipio;População residente;População Rural; Unidade Domestica ; Rendimento mensal total domiciliar per capita nominal ;Analfabetismo;Residencia sem Saneamento;Saneamento Semi-Inadequado;Saneamento Inadequado;Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência;Perc Pessoas mais de 10 anos sem rendimento;Perc Pessoas mais de 10 anos com menos 1 salario;Perc Pessoas acima 25 anos sem Instrucao e fundamental incompleto;Economicamente Ativa;Perc Economicamente Ativa - Sem Rendimento;Não Economicamente Ativa;Perc Não Economicamente Ativa - Com Rendimento;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010;Gini
Aurelino Leal;13595;2168;3923;235;5176;1631;1897;632;4715;37,51;48,65;76,59;5278;11,13;5900;38,89;56,80;50,40;76,10;47,10;45,88
Baianópolis;13850;10368;3822;226;6110;1400;3919;584;4684;45,35;41,18;79,02;5083;30,46;6298;42,64;58,90;59,10;75,40;43,90;57,89
Banzaê;11814;7772;3035;220;4440;169;3935;68;4551;40,77;46,00;79,12;4811;24,85;4911;43,64;57,90;56,60;76,00;44,90;47,16
Barra do Mendes;13987;7731;4113;259;3006;2224;3692;810;5010;39,20;46,61;72,58;5662;22,23;5943;44,63;63,00;54,90;77,50;47,10;57,75
Barro Alto;13612;6900;3977;218;3578;570;4073;229;6579;31,06;54,19;74,42;6839;19,07;4304;49,88;60,70;58,00;72,70;47,00;51,25
Barrocas;14191;8496;3871;254;4086;2477;2662;791;7147;33,32;46,32;73,62;7625;21,42;4101;44,55;61,00;55,40;77,50;46,20;46,72
Belo Campo;16021;6992;4359;247;6178;5464;3002;1598;6707;36,37;51,40;81,92;7190;16,09;6252;40,30;57,50;57,00;72,40;50,20;49,72
Biritinga;14836;11318;4120;206;5624;1602;3369;535;6059;46,51;43,22;80,70;6358;32,28;6002;38,41;53,80;57,00;75,30;44,30;56,10
Boa Nova;15411;9607;4223;226;7128;4400;1906;1425;5222;40,34;48,53;84,63;5928;22,69;6921;44,55;56,70;56,50;77,20;44,00;52,00
Boa Vista do Tupim;17991;11397;4956;193;7634;4514;2868;1538;5908;42,81;48,39;81,64;6880;24,86;7804;41,36;55,10;55,40;76,60;47,80;56,27
Bom Jesus da Serra;10113;7345;2624;203;4022;6765;1603;2976;3278;41,35;48,15;85,14;3707;19,32;4678;41,19;54,60;55,70;73,80;42,80;52,80
Boninal;13695;9088;3392;238;4412;1632;3711;591;4953;45,66;40,16;78,06;5434;24,57;6072;35,46;61,20;55,40;73,40;49,00;55,75
Bonito;14834;8602;3959;206;4020;1253;3923;460;6951;33,26;52,52;76,34;7490;12,69;4316;31,03;56,10;54,50;74,60;50,40;50,58
Botuporã;11154;7078;2944;225;4344;4794;1263;2088;5405;39,03;49,55;80,76;5688;28,72;3752;45,35;57,50;54,10;73,20;45,90;53,34
Brejões;14282;9345;3950;266;5122;2636;2154;1036;4789;41,98;46,70;75,31;5615;18,88;6407;37,76;59,70;55,90;78,90;44,70;51,81
Brejolândia;11077;9093;3136;209;4386;5578;1956;2627;3256;44,75;46,91;76,19;3800;28,48;5496;44,00;59,20;62,00;71,40;41,90;56,48
Brotas de Macaúbas;10717;7599;3199;246;3334;5047;1238;2361;3998;42,49;45,33;77,79;4265;30,20;4668;46,27;57,00;53,10;73,20;46,30;56,99
Buerarema;18605;3328;5489;294;6422;2429;1277;622;5578;45,84;39,70;69,43;6343;12,71;9409;31,82;61,30;58,30;77,80;47,40;57,60
Buritirama;19600;11695;4588;161;6970;9612;2141;2385;7073;49,97;39,91;76,90;7786;35,48;8078;36,06;56,50;56,00;72,10;50,80;55,31
Caatiba;11420;6022;2924;266;5054;3634;403;1574;4563;34,01;53,57;82,02;4694;6,72;4806;39,32;56,10;53,40;74,70;38,10;40,59
Cabaceiras do Paraguaçu;17327;12683;4316;184;6314;8442;1963;2455;8625;44,44;45,81;77,42;9061;36,98;4880;41,72;58,10;56,30;77,50;47,90;54,55
Caém;10368;6713;2966;213;3658;3086;2835;1465;3867;42,51;47,06;78,21;4263;24,82;4170;39,40;54,60;50,10;74,70;37,20;55,01
Caetanos;13639;10348;3211;212;5596;9339;1336;3182;3617;45,97;41,68;85,31;4064;18,07;7462;38,84;54,20;56,20;76,00;44,40;50,28
Cafarnaum;17209;6646;4740;206;5250;3155;3598;840;6329;34,68;52,88;74,96;6673;9,35;7373;42,40;58,40;56,80;78,30;46,80;55,78
Cairu;15374;7227;4724;328;3450;203;2598;77;6541;35,50;43,71;63,73;7180;10,42;5360;30,90;62,70;55,40;74,70;52,70;54,74
Caldeirão Grande;12491;7933;3525;194;5168;3065;3159;1111;5324;41,10;48,15;76,43;5939;30,39;4172;43,65;57,30;59,50;71,30;45,40;56,02
Candiba;13210;5485;3675;263;5254;3474;3316;1266;5884;32,71;54,50;78,46;6240;16,83;5088;47,82;59,10;56,70;74,40;46,40;44,61
Canudos;15732;7034;4231;235;5578;4679;2468;1455;6179;37,92;49,71;78,03;6633;19,76;6077;42,26;56,20;55,80;73,60;49,90;53,81
Capela do Alto Alegre;11527;5932;3755;274;4958;1859;2362;859;4950;35,02;51,32;78,11;5289;17,72;4583;45,02;59,90;54,30;76,90;44,70;49,77
Caraíbas;10222;7709;2907;248;5130;6797;1376;3058;3670;35,36;51,74;87,01;3943;16,52;4748;48,99;55,50;54,60;76,20;36,30;49,30
Central;17013;8855;4938;213;4882;1750;3788;536;6227;39,58;48,93;69,08;6945;21,46;7050;42,58;59,60;57,50;73,80;50,10;54,27
Chorrochó;10734;8103;2739;219;4256;4683;1344;2110;3689;43,51;44,36;74,74;3992;23,74;4691;39,67;60,00;53,60;71,90;48,50;58,11
Cipó;15755;4468;4420;273;5376;2917;3484;854;6782;34,60;50,45;69,57;7085;10,55;5865;36,36;60,10;55,90;76,40;50,00;54,75
Cocos;18153;9581;4855;270;6560;6689;2747;1835;6175;44,91;41,19;79,70;7041;28,69;7964;40,75;59,60;55,80;75,70;50,30;56,38
Conceição do Almeida;17889;9962;5097;268;5684;5991;2197;1515;5166;46,91;42,15;71,21;6872;27,10;8600;37,27;60,60;54,80;74,90;52,30;58,33
Condeúba;16898;9436;4697;257;6816;5578;2793;1571;6095;37,24;50,44;79,44;6586;20,09;7689;48,07;58,20;57,30;74,10;49,00;49,75
Coribe;14307;8166;4228;236;6028;2248;3673;873;4955;43,38;46,48;75,70;5492;25,30;6586;41,54;60,00;58,10;75,90;44,70;58,77
Coronel João Sá;17066;10023;4868;225;9388;7151;1416;1956;6947;35,80;52,83;84,90;7226;15,70;6751;42,70;53,50;56,10;77,70;46,20;48,83
Cotegipe;13636;6988;3726;214;5818;4419;2917;1655;5072;43,24;44,70;76,01;5651;27,40;5588;40,74;59,00;60,80;76,80;41,90;55,99
Cristópolis;13280;10147;3724;221;5890;1865;3709;677;4317;41,31;46,29;73,10;4621;20,40;6532;43,90;61,40;55,80;75,80;47,10;54,57
Dário Meira;12836;7747;3381;210;6204;3301;1434;1394;4079;47,47;41,22;79,10;5115;27,91;5376;33,92;54,00;55,10;70,50;45,10;55,78
Dom Basílio;11355;9114;2971;248;4154;4639;2729;1870;4963;33,59;55,32;78,63;5178;17,34;4507;47,74;59,10;57,70;73,60;43,50;45,88
Érico Cardoso;10859;8842;2656;267;5052;2416;3550;1040;5242;41,85;44,16;80,17;5451;31,03;3906;43,06;58,40;53,40;72,30;47,10;49,16
Fátima;17652;10736;5260;224;9212;3180;2040;823;7632;34,16;54,21;83,61;8207;18,99;6804;47,53;55,90;58,90;74,00;46,90;52,94
Filadélfia;16740;7719;4788;217;5492;3142;3330;881;5566;41,40;46,68;75,56;6448;25,75;7397;44,96;56,50;59,70;70,60;48,70;57,54
Floresta Azul;10660;3317;3030;245;4578;1619;791;708;2938;40,95;47,66;75,09;3369;12,81;5565;42,01;55,70;55,40;70,70;45,30;46,67
Gentio do Ouro;10622;5272;2976;194;3938;2203;3564;1030;2925;45,90;44,40;79,65;3313;30,34;5520;44,77;55,90;53,20;73,40;45,40;52,50
Glória;15076;12249;4282;257;6312;5598;2176;1756;5409;41,79;42,83;77,52;5805;21,67;6833;41,12;59,30;56,00;72,30;48,70;52,54
Governador Mangabeira;19818;12400;5402;273;5124;8093;2345;1993;9394;39,25;44,63;60,36;9964;26,95;6540;42,00;64,30;57,50;79,20;48,10;54,45
Guajeru;10412;8335;2667;234;4768;5576;2203;2376;4784;42,66;42,96;86,40;4987;33,50;3955;45,78;56,90;54,90;77,10;37,10;46,02
Heliópolis;13192;7763;3829;226;6164;1718;3728;577;5988;38,02;48,25;82,83;6356;26,63;4747;46,74;56,30;57,90;69,50;47,70;50,81
Ibiassucê;10062;5356;2798;308;3336;1088;3971;530;5045;31,42;51,27;75,75;5348;17,57;3378;46,65;61,10;55,40;68,60;45,90;46,87
Ibicoara;17282;6322;4739;269;3926;2715;3120;717;7201;37,23;45,05;76,77;7722;10,16;6041;28,17;59,10;58,90;75,20;47,30;49,07
Ibicuí;15785;3822;4780;302;6012;3553;939;1084;5936;33,85;52,62;75,14;6454;11,09;6749;44,37;58,40;56,90;75,70;45,10;51,03
Ibipeba;17008;6960;4918;238;4584;2091;3784;609;6386;33,94;52,21;70,64;6947;13,71;7194;46,52;61,60;56,50;79,80;48,20;57,00
Ibipitanga;14171;9016;3787;236;5966;6415;2511;2045;4482;42,29;47,15;81,46;5121;23,71;6908;43,93;58,40;58,40;74,20;44,90;57,61
Ibirataia;18943;3201;5590;277;8118;2396;876;672;6350;36,92;49,35;73,96;7296;12,84;8542;42,51;57,60;55,00;76,40;49,30;49,89
Ibitiara;15508;12071;4212;231;5450;4305;2718;1349;4994;43,01;46,12;80,72;5227;17,93;8038;40,69;58,50;59,60;71,20;45,80;55,40
Ibititá;17840;9502;5207;227;5956;1056;4253;293;7009;31,94;55,34;73,17;7569;12,56;7243;47,80;60,20;58,20;77,00;48,00;50,81
Igaporã;15205;7341;3967;265;4740;5153;2224;1485;5664;35,17;52,63;70,72;6734;15,78;6222;43,85;61,40;58,60;78,00;43,50;49,66
Igrapiúna;13343;9068;3554;232;4366;6081;1756;2135;5820;36,36;47,86;79,24;6152;15,52;4484;35,04;57,40;58,90;75,00;43,60;54,81
Ipecaetá;15331;12694;3836;190;5972;6428;2625;1931;6019;49,80;41,28;81,25;6730;36,93;6232;36,31;55,00;58,10;70,70;46,20;53,12
Iramaia;11990;6586;3239;214;4198;4385;2855;1694;4304;39,39;48,52;77,91;4643;15,21;5291;39,38;57,10;50,80;75,10;41,50;50,48
Itaeté;14924;8716;4071;216;5468;2575;3393;859;4797;43,78;45,18;78,25;5348;19,77;6859;37,51;57,20;59,60;69,90;46,40;54,90
Itagi;13051;2841;3691;228;5806;2155;1430;830;4256;37,01;53,34;78,41;4731;13,90;6137;45,17;54,30;54,70;70,10;45,90;47,83
Itagibá;15193;5621;4226;268;5996;2972;776;1035;4815;41,42;46,58;74,69;5966;21,61;6724;41,00;58,90;52,50;76,30;49,00;49,55
Itaguaçu da Bahia;13209;10611;3529;184;5240;2179;3746;820;6157;36,25;50,92;81,99;6532;20,92;4110;39,39;56,20;58,50;70,50;46,50;53,69
Itapé;10995;3815;3332;290;3782;1707;1352;739;3443;37,54;48,96;69,49;4339;17,26;4818;44,20;59,90;55,90;78,60;38,20;47,92
Itapebi;10495;2227;2996;289;4284;1402;3689;762;3282;40,96;41,78;75,95;3840;17,06;4592;39,05;57,20;55,60;75,70;42,90;49,64
Itapitanga;10207;2616;2752;231;3860;1388;420;766;3079;42,78;46,89;76,66;3644;17,03;4853;37,90;57,10;55,30;72,60;45,00;44,43
Itarantim;18539;3237;5331;294;6376;1981;791;599;7100;33,41;52,07;73,30;8137;13,65;7480;45,11;61,00;57,60;77,10;48,30;51,81
Itatim;14522;4410;4172;245;4896;1976;3883;625;5489;37,55;49,40;74,93;6212;16,63;5729;39,76;58,20;56,10;76,30;45,40;47,09
Itiruçu;12693;3167;3798;273;4654;999;2217;381;4848;32,45;55,14;73,02;5509;11,15;5158;44,81;60,00;56,80;71,80;45,80;50,39
Itororó;19914;1814;5947;323;7232;1621;1064;439;7914;34,26;50,80;73,17;8560;9,40;8107;39,48;59,40;55,00;75,50;51,00;46,39
Ituaçu;18127;11558;4973;273;6982;8126;2191;2082;7624;37,93;49,16;81,33;8251;21,65;7020;42,93;57,00;58,30;73,10;48,40;52,74
Iuiú;10900;5616;2760;223;4040;3439;2480;1561;4270;36,91;50,25;76,36;4922;16,24;4033;37,87;59,10;56,50;77,00;42,50;47,16
Jacaraci;13651;8728;3681;269;5566;2099;3692;665;6472;35,35;51,45;81,14;6797;22,28;5057;47,07;59,30;55,40;78,60;45,20;47,62
Jaguaripe;16467;11170;4584;201;6610;7261;2285;2133;8025;33,96;54,36;80,52;8421;15,86;5092;36,11;55,60;56,50;76,60;47,10;55,92
Jandaíra;10331;4184;2693;187;3776;2490;3334;1150;3456;43,95;47,12;78,38;3844;19,83;4358;34,77;55,00;54,40;76,80;42,20;54,72
Jiquiriçá;14118;8537;3985;234;4702;7350;986;2383;6764;35,22;52,97;80,79;7052;16,96;4721;37,50;55,30;52,50;76,30;47,70;50,46
Jitaúna;14115;4856;4093;242;6184;3093;1486;1110;4709;38,23;49,94;73,90;5418;14,97;6358;41,95;57,50;56,60;75,40;42,60;51,29
Jucuruçu;10290;7998;3004;227;4742;4586;1029;2186;2927;50,11;41,22;80,34;3101;27,04;5442;36,74;54,10;46,90;70,50;41,30;56,10
Jussara;15052;5000;4182;210;5492;1129;4180;383;5638;33,81;53,73;75,82;6049;15,49;6095;48,01;57,10;56,80;77,70;43,60;52,37
Lagoa Real;13934;11126;3311;197;4938;8599;1697;2834;6141;40,09;48,73;84,79;6441;25,43;5370;42,32;54,50;54,30;75,40;46,40;48,53
Lençóis;10368;2331;3000;325;2710;1667;1358;778;4386;37,26;45,08;61,41;4838;16,14;3560;34,05;62,30;57,10;70,40;47,00;61,50
Licínio de Almeida;12311;6058;3483;267;4320;2386;3673;864;5516;30,59;54,61;74,42;5777;12,18;4672;46,65;62,10;58,80;69,70;46,10;45,44
Macajuba;11229;4358;3324;191;4330;3360;1138;1503;3532;46,33;45,28;83,58;4033;27,02;5000;38,09;52,40;52,30;74,30;45,00;56,39
Macarani;17093;3454;4960;325;6944;1627;698;533;6800;32,13;49,94;73,42;7471;10,28;6886;44,17;60,50;56,60;74,70;50,80;47,13
Madre de Deus;17376;521;5172;453;1390;0;389;0;6035;44,24;24,31;36,33;7980;20,66;6812;28,12;70,80;54,70;74,80;53,90;56,31
Mairi;19326;8212;5809;261;6872;4854;1327;1150;8373;34,77;51,55;78,70;8920;17,53;7332;44,24;57,20;57,30;73,90;49,10;50,96
Malhada;16014;9455;3853;198;5306;3778;3003;1229;5790;42,65;44,39;79,42;6206;17,84;6596;34,00;56,20;60,60;79,10;42,90;49,13
Manoel Vitorino;14387;7028;3953;219;5812;5925;2645;1887;5486;40,84;48,89;80,94;5932;21,73;6056;40,45;56,60;56,70;71,70;47,20;51,44
Mansidão;12592;7810;2829;255;3112;3058;3313;1282;3790;52,07;37,74;65,75;4141;31,62;6140;34,14;59,90;55,00;78,20;45,90;55,04
Maraú;19101;15541;5162;297;6682;7934;2317;1939;7540;36,93;45,35;74,98;8016;14,46;7234;38,18;59,30;55,80;80,50;47,10;71,30
Marcionílio Souza;10500;5188;2902;200;4516;2180;3347;1020;3014;47,06;42,72;78,61;3734;26,15;4859;36,87;56,10;54,70;74,80;43,70;51,13
Mascote;14640;2962;4102;239;6194;2143;1909;815;4093;46,71;40,28;75,98;4856;18,76;6939;33,73;58,10;58,10;70,00;47,40;60,26
Matina;11145;7672;2739;202;5126;4004;2838;1704;3880;35,62;52,53;80,81;4132;11,94;5070;45,08;57,20;53,80;74,10;45,60;45,28
Milagres;10306;2517;3118;268;3370;1154;3923;509;3790;34,15;50,18;72,12;4407;13,35;4190;43,97;62,20;56,50;78,90;42,40;52,50
Mirangaba;16279;8400;4655;186;5870;4118;2603;1225;6014;41,91;49,38;79,77;6546;23,93;6870;40,96;54,20;55,50;73,40;49,60;51,83
Mirante;10507;8698;2786;202;4702;7486;350;3366;3960;39,34;51,24;87,44;4234;18,78;4611;41,77;52,70;51,70;77,10;33,50;52,17
Mortugaba;12477;6590;3446;314;5122;4366;2925;1602;6163;31,72;52,15;76,47;6520;17,77;4240;46,84;61,80;52,60;75,80;47,30;47,89
Mucugê;10545;6365;3056;408;3058;1214;2532;646;4297;37,50;45,79;69,84;4816;18,44;3856;38,71;60,60;54,00;76,40;41,50;53,15
Mulungu do Morro;12249;6330;3307;180;3416;5067;2642;1947;5168;37,00;49,90;81,36;5600;17,88;4247;37,78;56,60;45,50;77,40;50,90;49,52
Muquém de São Francisco;10272;8989;2635;176;3412;2611;3095;1275;3425;49,40;40,82;81,04;3913;31,75;4110;33,79;54,90;58,40;71,00;42,40;54,95
Nilo Peçanha;12530;9425;3556;224;4698;4673;1645;1751;4979;43,52;47,66;77,75;5205;17,43;5100;29,85;54,70;54,70;76,80;45,30;55,30
Nordestina;12371;8449;3320;180;5168;6147;2253;2294;4351;45,03;47,78;80,54;4791;30,78;5404;42,35;56,00;58,60;69,00;47,20;54,16
Nova Canaã;16713;9861;4977;243;7690;5954;694;1940;6526;36,33;53,69;83,59;7026;16,36;6872;43,25;54,50;57,30;73,70;47,90;48,10
Novo Horizonte;10673;7168;3051;237;3532;1085;4000;555;3750;40,16;49,36;78,90;4121;22,59;4845;44,90;59,70;53,60;76,40;45,40;57,62
Novo Triunfo;15051;7548;3644;196;5086;3371;1071;1192;5260;47,26;44,76;75,31;6393;39,13;6136;44,26;55,40;54,30;77,30;45,60;51,97
Ourolândia;16425;10083;4668;203;6354;2010;3688;643;6985;34,23;52,96;78,78;7378;11,20;5859;36,77;56,00;56,60;77,00;46,90;53,36
Pau Brasil;10852;3470;3152;255;4172;2519;691;1126;3552;40,57;45,24;74,88;3823;11,30;4763;35,95;58,30;57,70;69,90;45,10;56,75
Pé de Serra;13752;8578;4056;230;4942;5010;2862;1616;5946;34,70;53,32;80,58;6434;19,81;5156;46,72;58,70;58,60;74,70;44,60;46,24
Pedro Alexandre;16995;14210;4274;163;9518;11038;1513;2995;6571;43,60;47,97;84,23;6915;29,32;6693;41,65;51,30;56,30;74,10;47,90;51,25
Piatã;17982;10370;4858;234;6244;4751;2914;1480;6617;46,26;42,42;82,41;7088;29,68;7828;38,73;57,10;55,30;74,00;50,40;55,69
Pindaí;15628;11308;4164;238;5710;6808;2581;1985;7016;35,38;48,56;78,80;7396;19,42;5969;44,85;60,30;57,30;73,30;47,10;45,13
Pintadas;10342;4502;2866;277;3702;2914;1130;1283;4306;37,60;46,32;77,32;4656;17,56;4082;39,54;61,20;53,80;74,00;46,90;47,33
Piripá;12783;6588;3349;239;5110;4297;2821;1627;4029;43,67;43,60;77,13;4484;15,89;6436;36,97;57,50;57,10;73,70;43,10;49,57
Ponto Novo;15742;7337;4501;214;5676;2786;3400;752;5719;41,67;46,81;78,25;6463;25,07;6365;41,47;58,00;54,70;75,30;46,90;50,77
Presidente Dutra;13750;4694;4041;237;3152;189;4190;101;4672;37,22;51,83;69,51;4863;5,79;6665;39,84;61,40;55,30;75,70;47,50;55,26
Presidente Jânio Quadros;13652;9454;3792;216;7034;7500;1081;2459;4885;40,56;50,29;86,79;5372;23,14;6270;44,52;54,20;50,70;74,30;46,70;55,48
Retirolândia;12055;5333;3675;276;3472;2187;2979;882;5326;31,60;55,62;70,12;5844;14,27;4368;45,23;63,60;59,00;71,20;47,70;47,53
Ribeira do Amparo;14276;12354;3933;177;7136;3213;3491;1092;5726;42,98;48,71;85,31;5969;26,52;5881;40,30;51,20;53,30;77,60;46,00;53,55
Rio de Contas;13007;6699;3721;290;4158;2978;2619;1033;4868;36,09;51,97;75,34;5148;17,86;6345;49,13;60,50;59,40;80,70;41,30;49,30
Rio do Antônio;14815;8822;4012;218;6378;4852;2790;1513;5865;39,48;48,26;80,93;6153;16,88;6509;39,16;57,60;54,90;74,70;47,10;49,50
Rio do Pires;11918;6651;3249;262;5068;3453;3269;1299;4294;39,38;46,67;78,55;4593;19,36;5696;44,47;59,40;54,30;74,00;46,30;48,81
Salinas da Margarida;13456;7496;3833;264;2372;162;3999;77;6367;33,52;51,19;57,83;6736;13,83;4404;36,36;61,70;57,70;79,60;43,30;54,68
Santa Bárbara;19064;10396;5413;233;6122;5072;3006;1353;7098;40,93;48,14;74,63;7891;24,33;7924;42,53;58,30;64,30;80,10;40,40;53,47
Santa Brígida;15060;9449;4174;204;7218;5346;1517;1666;6988;38,04;49,43;82,13;7296;28,21;4974;47,55;54,60;56,30;70,40;47,90;55,46
Santa Inês;10363;849;3226;278;4404;435;1497;231;3755;35,32;51,62;72,13;4315;11,90;4502;42,23;57,40;51,70;75,30;46,60;49,21
Santa Luzia;13344;5272;3971;245;5664;3841;1144;1604;5087;38,81;47,95;80,51;5492;13,38;5489;35,75;55,60;51,80;73,70;46,30;46,39
São Félix;14098;4833;3695;303;3272;3528;817;1169;5977;38,68;43,63;60,48;6865;21,60;5314;39,26;63,90;55,00;74,40;49,00;49,21
São Félix do Coribe;13048;2461;3683;372;3134;745;4237;306;5171;34,44;46,48;67,59;5683;14,28;4967;42,49;63,90;53,50;77,80;48,00;50,58
São Gabriel;18427;7933;5121;201;5152;2276;3622;643;6995;37,02;50,21;70,62;7501;13,55;7572;39,73;59,20;53,00;77,50;51,20;51,81
São José do Jacuípe;10180;3189;3142;236;4210;2226;2267;895;4202;29,18;58,28;82,72;4588;14,09;3820;52,69;55,20;55,20;68,50;46,70;46,64
São Miguel das Matas;10414;7054;3098;247;3794;5067;1597;2360;5207;31,58;55,67;79,56;5431;13,99;3289;39,39;59,30;54,30;77,00;44,60;52,13
Sapeaçu;16585;8501;4779;279;3962;5992;2647;1796;6797;38,04;48,36;68,46;7602;20,41;6429;41,10;61,40;54,50;80,70;49,10;59,05
Sátiro Dias;18964;14633;5156;197;8148;2331;2906;603;8722;42,20;47,57;84,41;9185;30,38;6471;41,03;52,70;54,80;76,40;48,00;54,48
Saubara;11201;253;3538;265;2476;266;3230;127;4671;36,70;50,62;62,25;5195;19,00;4282;41,82;61,70;56,80;72,90;45,20;50,05
Saúde;11845;5199;3539;236;3796;2018;2854;839;4236;43,99;44,57;74,46;4990;29,89;4802;41,36;54,90;50,60;75,10;46,40;55,25
Sebastião Laranjeiras;10371;6287;2628;243;3886;3451;2702;1478;4401;35,81;49,99;75,90;4657;13,39;4238;39,54;61,50;57,30;70,80;46,20;46,35
Serra Dourada;18112;12110;4990;228;6418;6140;2960;1601;6575;42,31;47,20;75,04;7405;29,41;7807;45,46;60,80;57,40;76,10;49,10;51,43
Serra Preta;15401;8481;4311;235;6392;6291;2221;1931;5865;41,33;48,85;79,04;6502;24,94;6524;42,34;56,60;52,70;75,70;48,20;48,87
Serrolândia;12344;5065;4044;248;4210;1163;3950;447;5475;33,64;54,91;75,01;6002;21,73;4421;50,18;59,00;54,40;77,80;46,30;50,98
Sítio do Mato;12050;5184;2958;143;3414;3146;2648;1400;3167;54,34;40,11;74,43;3504;34,13;5947;33,75;56,40;53,80;76,80;43,50;59,56
Sítio do Quinto;12592;7420;3772;219;6940;2974;2724;1138;5137;38,01;47,84;87,06;5467;23,70;5035;46,45;53,30;56,60;72,70;42,40;55,68
Souto Soares;15899;9861;4175;194;4592;1490;4073;466;6775;42,17;43,39;75,50;7019;25,21;5882;37,59;59,20;54,00;72,80;53,80;54,38
Tabocas do Brejo Velho;11431;7499;3098;201;4896;994;4124;471;4034;45,38;44,50;76,45;4341;31,72;5116;43,03;58,40;55,50;75,90;43,40;54,10
Tanque Novo;16128;8811;4374;247;6584;5886;2934;1603;7763;34,04;52,79;79,41;8232;21,57;5167;46,09;59,90;57,70;77,10;48,00;59,97
Taperoá;18748;10023;5113;229;7024;6531;1735;1606;7849;34,21;51,66;74,38;8291;9,63;6766;35,66;56,60;57,80;74,30;48,10;53,50
Tapiramutá;16516;3733;3999;233;5400;1595;3998;504;5433;43,43;45,71;75,01;6341;15,58;6998;31,33;59,40;56,00;77,50;49,00;61,91
Teolândia;14836;9768;3621;210;6472;7020;1355;2241;5975;39,81;45,89;78,28;6579;16,12;5548;32,09;55,50;54,40;77,60;45,30;48,59
Terra Nova;12803;1315;3606;268;2460;862;1905;318;4005;39,80;43,90;67,77;4840;13,84;5939;39,04;57,80;56,50;74,90;43,00;45,76
Tremedal;17029;13090;4831;234;8026;10004;1457;2856;5809;37,98;52,09;87,49;6539;18,99;8199;46,87;52,80;57,10;74,50;47,20;48,65
Ubaíra;19750;10928;5897;260;8764;7869;1275;1776;8823;36,41;50,68;77,85;9557;19,36;7013;40,36;58,20;57,30;70,90;51,30;58,31
Uibaí;13625;5314;4199;244;3430;225;4381;134;5201;34,46;52,22;69,11;5628;14,06;5939;46,21;61,70;54,50;76,40;47,90;53,71
Umburanas;17000;9489;3974;147;6196;5664;2885;1646;4711;49,28;44,56;80,87;5865;25,26;8166;33,47;51,50;56,60;74,90;47,50;50,74
Urandi;16466;10527;4477;284;5778;3401;3329;932;5725;36,61;45,74;78,02;6466;15,52;7529;45,28;59,80;56,70;76,80;48,80;51,26
Uruçuca;19837;4059;6020;311;6324;3430;1040;811;7173;34,81;44,45;67,07;8422;14,15;7974;43,37;61,60;61,80;75,10;46,70;49,49
Utinga;18173;5363;5081;229;5232;2352;3934;580;7352;34,42;51,75;72,19;7969;11,72;6755;38,80;59,00;56,80;76,70;48,10;62,53
Várzea da Roça;13786;7305;4229;208;5888;2763;2898;919;5950;34,87;54,67;85,03;6586;21,72;5047;47,96;53,90;56,60;71,70;46,90;49,97
Várzea Nova;13073;4521;3919;212;4474;2902;2121;1031;5331;33,30;55,15;76,93;5868;15,36;5066;45,92;55,50;57,90;75,20;40,60;49,93
Wanderley;12485;6607;3498;237;4414;3862;3058;1505;4744;40,76;47,59;74,58;5230;23,75;5070;41,69;60,00;57,50;74,40;43,80;59,93
Alcobaça;21271;10187;5988;302;7048;6815;1854;1517;8721;34,51;45,25;73,14;9595;12,64;7647;38,06;60,80;60,90;75,90;46,60;53,45
Amargosa;34351;9460;10382;319;10698;5580;3015;730;14801;33,21;50,55;66,12;16694;17,43;12357;45,48;62,50;65,20;77,80;49,70;56,79
Amélia Rodrigues;25190;5232;7153;331;4922;2530;3685;508;9642;37,40;41,15;54,20;11569;17,59;9475;38,41;66,60;57,70;74,40;54,50;49,98
Anagé;25516;20591;7239;226;12972;15444;1166;2932;8499;38,48;50,76;86,29;9089;15,00;12564;44,53;54,00;58,10;75,30;46,10;48,41
Baixa Grande;20060;11721;5716;223;7310;6461;1762;1499;8052;38,65;50,68;77,90;8684;21,76;7615;42,09;58,50;58,60;78,80;45,20;54,44
Barra;49325;26877;11471;184;15270;14243;2373;1494;17653;49,59;41,06;73,57;18747;32,65;20094;34,61;55,70;60,80;78,20;56,00;59,97
Barra da Estiva;21187;10782;5617;247;5500;3684;1669;900;10102;37,00;50,00;76,78;10648;16,57;6764;30,83;57,50;55,80;76,20;48,90;54,56
Barra do Choça;34788;12381;9207;231;13754;4355;2819;629;14469;33,32;53,81;81,89;15374;9,24;13118;38,47;55,10;58,10;76,10;53,10;44,52
Belmonte;21798;10378;6360;274;7538;2753;1549;669;7840;39,01;45,10;71,43;9259;18,55;8432;38,53;59,80;57,20;76,50;52,50;49,79
Boquira;22037;14672;5794;227;8370;6642;3167;1384;7857;39,79;47,32;74,42;8794;24,47;9719;46,35;60,30;55,90;76,50;50,30;53,57
Cachoeira;32026;15638;9309;322;7728;5390;1740;812;13246;37,98;42,64;55,39;14956;17,30;12190;36,66;64,70;63,10;80,10;48,40;57,29
