Municipio;População residente;População Rural; Unidade Domestica ; Rendimento mensal total domiciliar per capita nominal ;Analfabetismo;Residencia sem Saneamento;Saneamento Semi-Inadequado;Saneamento Inadequado;Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência;Perc Pessoas mais de 10 anos sem rendimento;Perc Pessoas mais de 10 anos com menos 1 salario;Perc Pessoas acima 25 anos sem Instrucao e fundamental incompleto;Economicamente Ativa;Perc Economicamente Ativa - Sem Rendimento;Não Economicamente Ativa;Perc Não Economicamente Ativa - Com Rendimento;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010;Gini
Jaguaquara;51011;12161;14077;270;19512;9524;2440;833;20712;36,25;50,04;74,04;22697;14,91;19196;38,51;58,00;62,60;77,20;55,90;51,43
Luís Eduardo Magalhães;60105;5223;17769;709;6160;1487;3743;115;29596;31,73;23,82;52,96;31990;7,54;16238;20,61;71,60;64,10;81,20;58,70;63,37
Monte Santo;52338;43493;14487;188;26568;31759;1295;2896;20182;41,27;49,79;86,31;21204;27,53;21758;45,34;50,60;63,70;77,70;53,20;55,17
Santo Amaro;57800;13034;16997;333;11140;6104;1599;543;21798;38,04;42,85;54,29;25178;14,78;24070;37,62;64,60;60,90;81,00;60,00;56,90
Santo Antônio de Jesus;90985;11682;27427;448;17260;10725;1195;524;42861;29,40;44,39;52,18;47894;11,23;29734;41,34;70,00;68,10;78,80;58,10;54,98
Senhor do Bonfim;74419;16856;22072;369;18002;5364;1810;333;28688;35,65;43,84;56,13;32385;12,71;29904;39,50;66,60;68,70;79,60;55,10;58,33
Serrinha;76762;29576;21765;338;19236;8569;1963;515;33197;38,11;42,74;59,69;36908;19,18;27240;36,25;63,40;64,10;81,30;59,10;56,12
Tucano;52418;30460;14880;234;22364;9440;1858;869;21137;37,28;51,09;79,27;23186;20,05;20313;43,06;57,90;63,20;81,70;52,00;66,14
Valença;88673;24305;26342;351;24976;20081;877;1003;39038;32,65;48,63;62,16;43901;13,49;29892;39,21;62,30;68,70;79,10;57,20;55,39
Alagoinhas;141949;17914;41637;478;22114;5772;1954;186;58100;36,37;35,94;45,28;67016;13,97;54179;35,91;68,30;65,20;82,30;61,60;57,38
Barreiras;137427;13688;38577;530;20748;8386;2760;295;61184;34,15;33,61;45,79;67508;10,52;46166;31,28;72,10;69,50;80,70;66,80;57,04
Camaçari;242970;11007;73991;475;28094;4739;1633;99;106130;35,75;30,67;45,61;125447;14,58;77558;29,99;69,40;71,00;82,00;61,90;54,58
Eunápolis;100196;6783;29461;484;21484;3582;2822;180;43588;34,95;35,56;54,25;49011;11,30;33686;30,64;67,70;65,70;79,60;59,40;58,77
Ilhéus;184236;28962;56003;506;34412;15685;1516;416;76610;31,21;40,03;50,50;87718;12,80;67354;44,80;69,00;67,00;79,40;66,70;58,75
Itabuna;204667;5014;63020;546;32794;4790;888;118;84834;33,09;36,94;46,34;98549;12,19;76479;39,99;71,20;75,40;82,60;59,00;57,45
Jequié;151895;12471;45309;409;36648;7827;863;259;63269;33,62;44,08;55,23;70548;11,14;57930;38,99;66,50;66,10;77,60;64,30;56,59
Juazeiro;197965;37198;55019;405;38100;13450;1407;333;79661;36,65;37,71;53,25;89600;11,57;72560;32,38;67,70;68,10;79,80;61,60;57,23
Lauro de Freitas;163449;0;49435;878;12266;157;977;6;78137;32,67;27,93;34,75;87947;9,66;50786;27,48;75,40;78,10;82,70;66,30;65,19
Paulo Afonso;108396;14991;31139;455;26848;8844;561;390;42471;37,10;35,20;55,48;47160;12,98;43770;36,90;67,40;68,10;79,00;59,20;58,85
Porto Seguro;126929;22847;38361;457;21100;9127;1923;316;58016;31,68;35,80;54,41;64351;10,26;37616;31,68;67,60;68,80;80,80;59,00;56,93
Simões Filho;118047;12241;35000;372;13572;3102;1798;136;45960;40,01;31,95;46,04;56229;16,47;41426;28,03;67,50;68,30;80,00;58,80;52,58
Teixeira de Freitas;138341;9075;41028;493;29766;4136;1553;147;61691;32,26;37,16;55,16;69043;10,97;45601;35,50;68,50;67,70;81,50;62,20;54,08
Vitória da Conquista;306866;32129;86460;484;61360;22800;1646;342;138570;31,72;40,44;55,15;152770;9,73;104846;36,24;67,80;65,90;79,60;65,00;55,88
Feira de Santana;556642;46034;162864;514;76742;16333;2023;139;261614;32,38;35,68;45,63;292296;11,65;179150;33,79;71,20;69,50;80,70;64,30;60,79
Salvador;2675656;803;858887;786;168408;2249;462;5;1252949;32,96;28,02;32,01;1441179;11,57;889870;32,41;75,90;77,20;83,50;67,90;64,49
