IDHM Longevidade 2010,IDHM Renda 2010,Saneamento Inadequado,População Rural,Gini,IDHM Educação 2010,IDHM 2010,Municipio,Selected
continuous,continuous,continuous,continuous,continuous,continuous,continuous,string,discrete
,,,,,,class,meta,meta
75.1,56.3,1792.0,8329.0,45.83,42.1,56.1,Antônio Cardoso,No
72.0,54.4,669.0,5232.0,51.57,47.6,59.8,Antônio Gonçalves,No
76.1,56.8,700.0,9225.0,56.62,47.0,54.8,Aporá,No
71.0,56.2,1191.0,5754.0,54.37,45.2,57.0,Araças,No
77.9,52.7,3179.0,9806.0,44.73,47.1,58.1,Aracatu,No
74.4,54.0,1242.0,4911.0,52.53,46.2,58.8,Aramari,No
74.0,55.0,1352.0,4804.0,47.06,43.5,55.9,Arataca,No
76.1,50.4,632.0,2168.0,45.88,47.1,56.8,Aurelino Leal,No
75.4,59.1,584.0,10368.0,57.89,43.9,58.9,Baianópolis,No
76.0,56.6,68.0,7772.0,47.16,44.9,57.9,Banzaê,No
77.5,54.9,810.0,7731.0,57.75,47.1,63.0,Barra do Mendes,No
72.7,58.0,229.0,6900.0,51.25,47.0,60.7,Barro Alto,No
77.5,55.4,791.0,8496.0,46.72,46.2,61.0,Barrocas,No
72.4,57.0,1598.0,6992.0,49.72,50.2,57.5,Belo Campo,No
75.3,57.0,535.0,11318.0,56.1,44.3,53.8,Biritinga,No
77.2,56.5,1425.0,9607.0,52.0,44.0,56.7,Boa Nova,No
76.6,55.4,1538.0,11397.0,56.27,47.8,55.1,Boa Vista do Tupim,No
73.8,55.7,2976.0,7345.0,52.8,42.8,54.6,Bom Jesus da Serra,No
73.4,55.4,591.0,9088.0,55.75,49.0,61.2,Boninal,No
74.6,54.5,460.0,8602.0,50.58,50.4,56.1,Bonito,No
73.2,54.1,2088.0,7078.0,53.34,45.9,57.5,Botuporã,No
78.9,55.9,1036.0,9345.0,51.81,44.7,59.7,Brejões,No
71.4,62.0,2627.0,9093.0,56.48,41.9,59.2,Brejolândia,No
73.2,53.1,2361.0,7599.0,56.99,46.3,57.0,Brotas de Macaúbas,No
77.8,58.3,622.0,3328.0,57.6,47.4,61.3,Buerarema,No
72.1,56.0,2385.0,11695.0,55.31,50.8,56.5,Buritirama,No
74.7,53.4,1574.0,6022.0,40.59,38.1,56.1,Caatiba,No
77.5,56.3,2455.0,12683.0,54.55,47.9,58.1,Cabaceiras do Paraguaçu,No
74.7,50.1,1465.0,6713.0,55.01,37.2,54.6,Caém,No
76.0,56.2,3182.0,10348.0,50.28,44.4,54.2,Caetanos,No
78.3,56.8,840.0,6646.0,55.78,46.8,58.4,Cafarnaum,No
74.7,55.4,77.0,7227.0,54.74,52.7,62.7,Cairu,No
71.3,59.5,1111.0,7933.0,56.02,45.4,57.3,Caldeirão Grande,No
74.4,56.7,1266.0,5485.0,44.61,46.4,59.1,Candiba,No
73.6,55.8,1455.0,7034.0,53.81,49.9,56.2,Canudos,No
76.9,54.3,859.0,5932.0,49.77,44.7,59.9,Capela do Alto Alegre,No
76.2,54.6,3058.0,7709.0,49.3,36.3,55.5,Caraíbas,No
73.8,57.5,536.0,8855.0,54.27,50.1,59.6,Central,No
71.9,53.6,2110.0,8103.0,58.11,48.5,60.0,Chorrochó,No
76.4,55.9,854.0,4468.0,54.75,50.0,60.1,Cipó,No
75.7,55.8,1835.0,9581.0,56.38,50.3,59.6,Cocos,No
74.9,54.8,1515.0,9962.0,58.33,52.3,60.6,Conceição do Almeida,No
74.1,57.3,1571.0,9436.0,49.75,49.0,58.2,Condeúba,No
75.9,58.1,873.0,8166.0,58.77,44.7,60.0,Coribe,No
77.7,56.1,1956.0,10023.0,48.83,46.2,53.5,Coronel João Sá,No
76.8,60.8,1655.0,6988.0,55.99,41.9,59.0,Cotegipe,No
75.8,55.8,677.0,10147.0,54.57,47.1,61.4,Cristópolis,No
70.5,55.1,1394.0,7747.0,55.78,45.1,54.0,Dário Meira,No
73.6,57.7,1870.0,9114.0,45.88,43.5,59.1,Dom Basílio,No
72.3,53.4,1040.0,8842.0,49.16,47.1,58.4,Érico Cardoso,No
74.0,58.9,823.0,10736.0,52.94,46.9,55.9,Fátima,No
70.6,59.7,881.0,7719.0,57.54,48.7,56.5,Filadélfia,No
70.7,55.4,708.0,3317.0,46.67,45.3,55.7,Floresta Azul,No
73.4,53.2,1030.0,5272.0,52.5,45.4,55.9,Gentio do Ouro,No
72.3,56.0,1756.0,12249.0,52.54,48.7,59.3,Glória,No
79.2,57.5,1993.0,12400.0,54.45,48.1,64.3,Governador Mangabeira,No
77.1,54.9,2376.0,8335.0,46.02,37.1,56.9,Guajeru,No
69.5,57.9,577.0,7763.0,50.81,47.7,56.3,Heliópolis,No
68.6,55.4,530.0,5356.0,46.87,45.9,61.1,Ibiassucê,No
75.2,58.9,717.0,6322.0,49.07,47.3,59.1,Ibicoara,No
75.7,56.9,1084.0,3822.0,51.03,45.1,58.4,Ibicuí,No
79.8,56.5,609.0,6960.0,57.0,48.2,61.6,Ibipeba,No
74.2,58.4,2045.0,9016.0,57.61,44.9,58.4,Ibipitanga,No
76.4,55.0,672.0,3201.0,49.89,49.3,57.6,Ibirataia,No
71.2,59.6,1349.0,12071.0,55.4,45.8,58.5,Ibitiara,No
77.0,58.2,293.0,9502.0,50.81,48.0,60.2,Ibititá,No
78.0,58.6,1485.0,7341.0,49.66,43.5,61.4,Igaporã,No
75.0,58.9,2135.0,9068.0,54.81,43.6,57.4,Igrapiúna,No
70.7,58.1,1931.0,12694.0,53.12,46.2,55.0,Ipecaetá,No
75.1,50.8,1694.0,6586.0,50.48,41.5,57.1,Iramaia,No
69.9,59.6,859.0,8716.0,54.9,46.4,57.2,Itaeté,No
70.1,54.7,830.0,2841.0,47.83,45.9,54.3,Itagi,No
76.3,52.5,1035.0,5621.0,49.55,49.0,58.9,Itagibá,No
70.5,58.5,820.0,10611.0,53.69,46.5,56.2,Itaguaçu da Bahia,No
78.6,55.9,739.0,3815.0,47.92,38.2,59.9,Itapé,No
75.7,55.6,762.0,2227.0,49.64,42.9,57.2,Itapebi,No
72.6,55.3,766.0,2616.0,44.43,45.0,57.1,Itapitanga,No
77.1,57.6,599.0,3237.0,51.81,48.3,61.0,Itarantim,No
76.3,56.1,625.0,4410.0,47.09,45.4,58.2,Itatim,No
71.8,56.8,381.0,3167.0,50.39,45.8,60.0,Itiruçu,No
75.5,55.0,439.0,1814.0,46.39,51.0,59.4,Itororó,No
73.1,58.3,2082.0,11558.0,52.74,48.4,57.0,Ituaçu,No
77.0,56.5,1561.0,5616.0,47.16,42.5,59.1,Iuiú,No
78.6,55.4,665.0,8728.0,47.62,45.2,59.3,Jacaraci,No
76.6,56.5,2133.0,11170.0,55.92,47.1,55.6,Jaguaripe,No
76.8,54.4,1150.0,4184.0,54.72,42.2,55.0,Jandaíra,No
76.3,52.5,2383.0,8537.0,50.46,47.7,55.3,Jiquiriçá,No
75.4,56.6,1110.0,4856.0,51.29,42.6,57.5,Jitaúna,No
70.5,46.9,2186.0,7998.0,56.1,41.3,54.1,Jucuruçu,No
77.7,56.8,383.0,5000.0,52.37,43.6,57.1,Jussara,No
75.4,54.3,2834.0,11126.0,48.53,46.4,54.5,Lagoa Real,No
70.4,57.1,778.0,2331.0,61.5,47.0,62.3,Lençóis,No
69.7,58.8,864.0,6058.0,45.44,46.1,62.1,Licínio de Almeida,No
74.3,52.3,1503.0,4358.0,56.39,45.0,52.4,Macajuba,No
74.7,56.6,533.0,3454.0,47.13,50.8,60.5,Macarani,No
74.8,54.7,0.0,521.0,56.31,53.9,70.8,Madre de Deus,No
73.9,57.3,1150.0,8212.0,50.96,49.1,57.2,Mairi,No
79.1,60.6,1229.0,9455.0,49.13,42.9,56.2,Malhada,No
71.7,56.7,1887.0,7028.0,51.44,47.2,56.6,Manoel Vitorino,No
78.2,55.0,1282.0,7810.0,55.04,45.9,59.9,Mansidão,No
80.5,55.8,1939.0,15541.0,71.3,47.1,59.3,Maraú,No
74.8,54.7,1020.0,5188.0,51.13,43.7,56.1,Marcionílio Souza,No
70.0,58.1,815.0,2962.0,60.26,47.4,58.1,Mascote,No
74.1,53.8,1704.0,7672.0,45.28,45.6,57.2,Matina,No
78.9,56.5,509.0,2517.0,52.5,42.4,62.2,Milagres,No
73.4,55.5,1225.0,8400.0,51.83,49.6,54.2,Mirangaba,No
77.1,51.7,3366.0,8698.0,52.17,33.5,52.7,Mirante,No
75.8,52.6,1602.0,6590.0,47.89,47.3,61.8,Mortugaba,No
76.4,54.0,646.0,6365.0,53.15,41.5,60.6,Mucugê,No
77.4,45.5,1947.0,6330.0,49.52,50.9,56.6,Mulungu do Morro,No
71.0,58.4,1275.0,8989.0,54.95,42.4,54.9,Muquém de São Francisco,No
76.8,54.7,1751.0,9425.0,55.3,45.3,54.7,Nilo Peçanha,No
69.0,58.6,2294.0,8449.0,54.16,47.2,56.0,Nordestina,No
73.7,57.3,1940.0,9861.0,48.1,47.9,54.5,Nova Canaã,No
76.4,53.6,555.0,7168.0,57.62,45.4,59.7,Novo Horizonte,No
77.3,54.3,1192.0,7548.0,51.97,45.6,55.4,Novo Triunfo,No
77.0,56.6,643.0,10083.0,53.36,46.9,56.0,Ourolândia,No
69.9,57.7,1126.0,3470.0,56.75,45.1,58.3,Pau Brasil,No
74.7,58.6,1616.0,8578.0,46.24,44.6,58.7,Pé de Serra,No
74.1,56.3,2995.0,14210.0,51.25,47.9,51.3,Pedro Alexandre,No
74.0,55.3,1480.0,10370.0,55.69,50.4,57.1,Piatã,No
73.3,57.3,1985.0,11308.0,45.13,47.1,60.3,Pindaí,No
74.0,53.8,1283.0,4502.0,47.33,46.9,61.2,Pintadas,No
73.7,57.1,1627.0,6588.0,49.57,43.1,57.5,Piripá,No
75.3,54.7,752.0,7337.0,50.77,46.9,58.0,Ponto Novo,No
75.7,55.3,101.0,4694.0,55.26,47.5,61.4,Presidente Dutra,No
74.3,50.7,2459.0,9454.0,55.48,46.7,54.2,Presidente Jânio Quadros,No
71.2,59.0,882.0,5333.0,47.53,47.7,63.6,Retirolândia,No
77.6,53.3,1092.0,12354.0,53.55,46.0,51.2,Ribeira do Amparo,No
80.7,59.4,1033.0,6699.0,49.3,41.3,60.5,Rio de Contas,No
