IDHM Longevidade 2010,IDHM Renda 2010,Saneamento Inadequado,População Rural,Gini,IDHM Educação 2010,IDHM 2010,Municipio,Selected
continuous,continuous,continuous,continuous,continuous,continuous,continuous,string,discrete
,,,,,,class,meta,meta
77.7,59.0,835.0,7795.0,56.34,52.7,61.0,Ruy Barbosa,No
79.1,62.6,520.0,7262.0,58.75,47.3,65.4,Santa Cruz Cabrália,No
79.5,59.8,835.0,16494.0,54.75,53.1,61.4,Santa Maria da Vitória,No
76.2,61.5,1413.0,11343.0,60.61,49.1,60.5,Santa Rita de Cássia,No
74.8,60.5,1109.0,13045.0,49.99,55.5,59.8,Santaluz,No
77.4,64.1,305.0,11266.0,55.18,46.7,60.8,Santana,No
78.4,62.4,701.0,20191.0,57.55,57.1,62.6,Santo Estêvão,No
75.8,57.5,1642.0,19027.0,57.53,54.0,57.9,São Desidério,No
74.4,58.9,2008.0,10486.0,51.01,49.6,61.6,São Felipe,No
77.8,61.5,66.0,5790.0,51.98,53.2,67.4,São Francisco do Conde,No
79.0,56.6,840.0,16778.0,56.81,56.4,62.7,São Gonçalo dos Campos,No
76.9,58.2,426.0,9042.0,54.64,58.3,65.7,São Sebastião do Passé,No
72.9,62.3,1137.0,21522.0,58.03,56.8,63.5,Seabra,No
78.4,57.8,733.0,15748.0,53.43,55.3,58.5,Sento Sé,No
79.3,58.2,782.0,25364.0,54.67,51.8,59.5,Serra do Ramalho,No
73.6,60.0,285.0,1998.0,51.6,49.3,63.1,Sobradinho,No
70.4,55.0,2149.0,11724.0,50.83,53.7,57.7,Tanhaçu,No
78.3,54.7,1108.0,14790.0,54.75,48.2,56.6,Teofilândia,No
79.1,57.2,1847.0,13534.0,57.77,50.8,60.5,Uauá,No
75.2,50.3,516.0,3093.0,56.19,56.8,61.1,Ubaitaba,No
76.7,60.7,997.0,7054.0,53.56,49.0,59.3,Ubatã,No
79.6,59.6,1428.0,9080.0,51.78,43.4,56.0,Una,No
76.4,57.2,491.0,11074.0,49.83,53.2,63.7,Valente,No
76.1,58.8,150.0,2322.0,57.87,57.2,64.5,Vera Cruz,No
80.4,54.9,2076.0,14678.0,45.2,45.9,54.4,Wenceslau Guimarães,No
78.0,60.1,710.0,12996.0,56.78,54.8,58.5,Xique-Xique,No
75.4,59.4,1956.0,32013.0,56.67,59.4,53.4,Araci,No
80.1,67.9,887.0,20383.0,60.48,54.1,63.3,Bom Jesus da Lapa,No
81.9,64.5,951.0,19471.0,52.26,55.9,65.6,Brumado,No
81.8,64.8,1357.0,41755.0,57.13,56.2,58.6,Campo Formoso,No
81.4,66.0,102.0,7160.0,51.2,57.8,69.1,Candeias,No
79.0,66.7,1728.0,27398.0,54.83,56.2,57.0,Casa Nova,No
80.7,63.0,296.0,8320.0,57.96,55.4,67.7,Catu,No
79.6,62.9,682.0,25759.0,49.46,57.3,61.1,Conceição do Coité,No
77.3,63.8,551.0,8721.0,57.34,59.9,69.9,Cruz das Almas,No
78.9,66.3,114.0,3966.0,53.37,58.4,67.6,Dias d'Ávila,No
80.6,64.4,598.0,28871.0,55.59,55.1,56.7,Euclides da Cunha,No
80.1,67.3,668.0,16271.0,55.81,57.2,67.3,Guanambi,No
81.2,63.3,1549.0,30336.0,52.94,55.1,54.9,Ipirá,No
78.9,67.8,60.0,5162.0,59.95,57.2,69.1,Irecê,No
79.9,63.0,488.0,13146.0,59.05,57.9,62.0,Itaberaba,No
79.0,65.6,531.0,13282.0,55.8,56.8,62.7,Itamaraju,No
82.6,65.7,70.0,2000.0,49.62,55.3,66.7,Itapetinga,No
81.1,65.1,418.0,23378.0,55.37,58.4,64.9,Jacobina,No
77.2,62.6,833.0,12161.0,51.43,55.9,58.0,Jaguaquara,No
81.2,64.1,115.0,5223.0,63.37,58.7,71.6,Luís Eduardo Magalhães,No
77.7,63.7,2896.0,43493.0,55.17,53.2,50.6,Monte Santo,No
81.0,60.9,543.0,13034.0,56.9,60.0,64.6,Santo Amaro,No
78.8,68.1,524.0,11682.0,54.98,58.1,70.0,Santo Antônio de Jesus,No
79.6,68.7,333.0,16856.0,58.33,55.1,66.6,Senhor do Bonfim,No
81.3,64.1,515.0,29576.0,56.12,59.1,63.4,Serrinha,No
81.7,63.2,869.0,30460.0,66.14,52.0,57.9,Tucano,No
79.1,68.7,1003.0,24305.0,55.39,57.2,62.3,Valença,No
82.3,65.2,186.0,17914.0,57.38,61.6,68.3,Alagoinhas,No
80.7,69.5,295.0,13688.0,57.04,66.8,72.1,Barreiras,No
82.0,71.0,99.0,11007.0,54.58,61.9,69.4,Camaçari,No
79.6,65.7,180.0,6783.0,58.77,59.4,67.7,Eunápolis,No
79.4,67.0,416.0,28962.0,58.75,66.7,69.0,Ilhéus,No
82.6,75.4,118.0,5014.0,57.45,59.0,71.2,Itabuna,No
77.6,66.1,259.0,12471.0,56.59,64.3,66.5,Jequié,No
79.8,68.1,333.0,37198.0,57.23,61.6,67.7,Juazeiro,No
82.7,78.1,6.0,0.0,65.19,66.3,75.4,Lauro de Freitas,No
79.0,68.1,390.0,14991.0,58.85,59.2,67.4,Paulo Afonso,No
80.8,68.8,316.0,22847.0,56.93,59.0,67.6,Porto Seguro,No
80.0,68.3,136.0,12241.0,52.58,58.8,67.5,Simões Filho,No
81.5,67.7,147.0,9075.0,54.08,62.2,68.5,Teixeira de Freitas,No
79.6,65.9,342.0,32129.0,55.88,65.0,67.8,Vitória da Conquista,No
80.7,69.5,139.0,46034.0,60.79,64.3,71.2,Feira de Santana,No
83.5,77.2,5.0,803.0,64.49,67.9,75.9,Salvador,No
