IDHM Educação 2010,Gini,Perc Saneamento Adequado,"Perc Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência",Perc Pessoas mais de 10 anos com rendimento,População residente,IDHM 2010,Municipio,Neural Network,Selected
continuous,continuous,continuous,continuous,continuous,continuous,continuous,string,continuous,discrete
,,,,,,class,meta,meta,meta
38.6,51.29,19.42,85.69,69.27,8661.0,57.5,Várzea do Poço,58.98680849021239,No
42.4,52.37,17.99,84.87,65.96,9109.0,58.6,Varzedo,59.10277439178759,No
43.4,47.29,27.31,83.55,60.04,6800.0,57.7,Vereda,56.70149641612598,No
42.5,52.62,1.02,82.64,62.2,8983.0,58.7,Wagner,56.627171651585435,No
52.3,56.21,43.14,79.72,54.6,17064.0,57.5,Abaré,58.71670024231795,No
46.8,57.91,6.9,81.26,59.56,14653.0,58.2,Acajutiba,58.05522321533999,No
47.4,54.78,23.18,83.32,58.82,15702.0,54.6,Adustina,59.114341654300574,No
50.5,53.76,2.33,84.24,53.83,15731.0,55.0,Água Fria,58.45921174581912,No
46.5,50.49,1.32,80.25,58.35,15961.0,56.1,América Dourada,55.046833189039525,No
42.4,60.17,11.69,80.69,54.18,13960.0,55.5,Andaraí,56.66355292957506,No
47.5,55.88,34.78,84.67,63.66,14414.0,58.8,Andorinha,61.42790661796253,No
49.2,56.48,3.51,83.76,55.38,14073.0,62.5,Angical,58.881657651170414,No
44.5,48.68,21.26,85.43,58.59,10242.0,58.9,Anguera,57.93397036422642,No
47.7,56.2,50.04,86.43,56.23,17072.0,59.2,Antas,62.04791655450133,No
42.1,45.83,12.18,83.36,61.53,11554.0,56.1,Antônio Cardoso,55.5299963171841,No
47.6,51.57,10.47,82.72,64.62,11015.0,59.8,Antônio Gonçalves,58.3435559299533,No
47.0,56.62,0.87,82.01,57.44,17731.0,54.8,Aporá,57.62407822094815,No
45.2,54.37,2.5,81.49,51.81,11561.0,57.0,Araças,55.49895036956063,No
47.1,44.73,0.71,85.13,70.28,13743.0,58.1,Aracatu,58.30652722458133,No
46.2,52.53,6.43,84.59,52.05,10036.0,58.8,Aramari,57.22562513433598,No
43.5,47.06,15.35,78.91,67.08,10392.0,55.9,Arataca,54.60675544528358,No
47.1,45.88,45.04,82.22,62.49,13595.0,56.8,Aurelino Leal,57.544969402653834,No
43.9,57.89,2.15,82.17,54.65,13850.0,58.9,Baianópolis,56.94415020005198,No
44.9,47.16,13.01,82.29,59.23,11814.0,57.9,Banzaê,55.5864069642753,No
47.1,57.75,2.16,82.97,60.8,13987.0,63.0,Barra do Mendes,59.06230262919591,No
47.0,51.25,6.51,81.86,68.94,13612.0,60.7,Barro Alto,58.14108433371054,No
46.2,46.72,24.98,82.63,66.68,14191.0,61.0,Barrocas,57.621389645362385,No
50.2,49.72,0.02,83.9,63.63,16021.0,57.5,Belo Campo,58.56486557519095,No
44.3,56.1,15.17,83.3,53.49,14836.0,53.8,Biritinga,57.574066485747686,No
44.0,52.0,27.61,83.37,59.66,15411.0,56.7,Boa Nova,57.94226370713925,No
47.8,56.27,4.26,81.62,57.19,17991.0,55.1,Boa Vista do Tupim,57.59370595677144,No
42.8,52.8,0.5,82.92,58.65,10113.0,54.6,Bom Jesus da Serra,56.333899846838676,No
49.0,55.75,6.52,84.02,54.34,13695.0,61.2,Boninal,58.75499301585026,No
50.4,50.58,4.75,79.59,66.74,14834.0,56.1,Bonito,57.03315486615655,No
45.9,53.34,27.17,84.63,60.97,11154.0,57.5,Botuporã,59.63251210824144,No
44.7,51.81,30.68,84.18,58.02,14282.0,59.7,Brejões,58.3885659363209,No
41.9,56.48,0.41,83.92,55.25,11077.0,59.2,Brejolândia,57.135331635689184,No
46.3,56.99,21.79,83.35,57.51,10717.0,57.0,Brotas de Macaúbas,59.18529293683591,No
47.4,57.6,58.74,84.67,54.16,18605.0,61.3,Buerarema,61.37253612659533,No
50.8,55.31,1.63,80.94,50.03,19600.0,56.5,Buritirama,56.42600339166336,No
38.1,40.59,57.05,83.19,65.99,11420.0,56.1,Caatiba,55.673057023892255,No
47.9,54.55,4.01,80.46,55.56,17327.0,58.1,Cabaceiras do Paraguaçu,56.234121280349456,No
37.2,55.01,6.57,81.34,57.49,10368.0,54.6,Caém,54.782003655418265,No
44.4,50.28,1.84,84.51,54.03,13639.0,54.2,Caetanos,56.3017823510195,No
46.8,55.78,3.57,81.62,65.32,17209.0,58.4,Cafarnaum,58.46809946439838,No
52.7,54.74,41.87,81.56,64.5,15374.0,62.7,Cairu,60.964665722847116,No
45.4,56.02,7.21,80.94,58.9,12491.0,57.3,Caldeirão Grande,56.95854787043661,No
46.4,44.61,0.44,85.75,67.29,13210.0,59.1,Candiba,57.99314921249331,No
49.9,53.81,14.75,80.79,62.08,15732.0,56.2,Canudos,58.1425983036043,No
44.7,49.77,30.01,85.64,64.98,11527.0,59.9,Capela do Alto Alegre,59.7418363648271,No
36.3,49.3,3.65,85.03,64.64,10222.0,55.5,Caraíbas,56.1911350334326,No
50.1,54.27,6.03,82.26,60.42,17013.0,59.6,Central,58.54100771452519,No
48.5,58.11,24.94,80.89,56.49,10734.0,60.0,Chorrochó,58.542724160147486,No
50.0,54.75,5.75,82.2,65.4,15755.0,60.1,Cipó,59.368931878760996,No
50.3,56.38,0.43,82.66,55.09,18153.0,59.6,Cocos,58.31394653648122,No
52.3,58.33,19.33,86.49,53.09,17889.0,60.6,Conceição do Almeida,61.95370445444199,No
49.0,49.75,5.17,84.48,62.76,16898.0,58.2,Condeúba,58.707653020321686,No
44.7,58.77,1.21,84.42,56.62,14307.0,60.0,Coribe,58.921575524858895,No
46.2,48.83,26.73,81.9,64.2,17066.0,53.5,Coronel João Sá,57.44711102569763,No
41.9,55.99,0.64,82.42,56.76,13636.0,59.0,Cotegipe,56.394110383124854,No
47.1,54.57,4.7,83.98,58.69,13280.0,61.4,Cristópolis,58.584860432332306,No
45.1,55.78,38.54,81.73,52.53,12836.0,54.0,Dário Meira,57.578754650528566,No
43.5,45.88,0.07,85.29,66.41,11355.0,59.1,Dom Basílio,57.23629087121353,No
47.1,49.16,0.26,86.17,58.15,10859.0,58.4,Érico Cardoso,58.15520352762742,No
46.9,52.94,37.78,85.04,65.84,17652.0,55.9,Fátima,61.20106850206409,No
48.7,57.54,8.5,82.7,58.6,16740.0,56.5,Filadélfia,59.14572815994942,No
45.3,46.67,67.43,83.81,59.05,10660.0,55.7,Floresta Azul,58.629887856980915,No
45.4,52.5,0.17,83.15,54.1,10622.0,55.9,Gentio do Ouro,56.267833824096215,No
48.7,52.54,14.55,83.83,58.21,15076.0,59.3,Glória,58.66994157345469,No
