Índice de Gini da renda domiciliar per capita segundo Município - Bahia;;;
Período: 1991, 2000 e 2010;;;
290940 Cotegipe;0,5489;0,5386;0,5599
290950 Cravolândia;0,5468;0,5656;0,5316
290960 Crisópolis;0,4682;0,5308;0,5831
290970 Cristópolis;0,5297;0,5336;0,5457
290980 Cruz das Almas;0,6128;0,5859;0,5734
290990 Curaçá;0,5512;0,5582;0,5279
291000 Dário Meira;0,4495;0,5004;0,5578
291005 Dias d'Ávila;0,5711;0,5613;0,5337
291010 Dom Basílio;0,5298;0,4744;0,4588
291020 Dom Macedo Costa;0,5249;0,4991;0,5609
291030 Elísio Medrado;0,4981;0,5182;0,507
291040 Encruzilhada;0,5086;0,4481;0,5122
291050 Entre Rios;0,54;0,5937;0,6249
290050 Érico Cardoso;0,5491;0,5995;0,4916
291060 Esplanada;0,5784;0,6168;0,59
291070 Euclides da Cunha;0,4872;0,5841;0,5559
291072 Eunápolis;0,6508;0,6389;0,5877
291075 Fátima;0,5125;0,5554;0,5294
291077 Feira da Mata;0,6716;0,5976;0,5467
291080 Feira de Santana;0,6212;0,6176;0,6079
291085 Filadélfia;0,4679;0,5472;0,5754
291090 Firmino Alves;0,5896;0,5449;0,4375
291100 Floresta Azul;0,5617;0,5496;0,4667
291110 Formosa do Rio Preto;0,7659;0,7996;0,6136
291120 Gandu;0,662;0,675;0,5989
291125 Gavião;0,5582;0,5087;0,411
291130 Gentio do Ouro;0,698;0,6204;0,525
291140 Glória;0,4937;0,627;0,5254
291150 Gongogi;0,5099;0,528;0,4781
291160 Governador Mangabeira;0,5411;0,5591;0,5445
291165 Guajeru;0,5223;0,4614;0,4602
291170 Guanambi;0,6349;0,6533;0,5581
291180 Guaratinga;0,6835;0,5349;0,5385
291185 Heliópolis;0,4859;0,4672;0,5081
291190 Iaçu;0,5259;0,562;0,6282
291200 Ibiassucê;0,4976;0,5373;0,4687
291210 Ibicaraí;0,6383;0,6166;0,5483
291220 Ibicoara;0,4593;0,5583;0,4907
291230 Ibicuí;0,7932;0,5781;0,5103
291240 Ibipeba;0,5696;0,5558;0,57
291250 Ibipitanga;0,5145;0,5547;0,5761
291260 Ibiquera;0,6324;0,5456;0,6049
291270 Ibirapitanga;0,5577;0,588;0,5296
291280 Ibirapuã;0,4783;0,5353;0,513
291290 Ibirataia;0,6037;0,6232;0,4989
291300 Ibitiara;0,535;0,4964;0,554
291310 Ibititá;0,4862;0,53;0,5081
291320 Ibotirama;0,6121;0,6808;0,5581
291330 Ichu;0,5622;0,505;0,4725
291340 Igaporã;0,5826;0,6434;0,4966
291345 Igrapiúna;0,5059;0,5573;0,5481
291350 Iguaí;0,546;0,5822;0,5641
291360 Ilhéus;0,6413;0,6435;0,5875
291370 Inhambupe;0,5195;0,5616;0,537
291380 Ipecaetá;0,4931;0,4715;0,5312
291390 Ipiaú;0,6778;0,6293;0,6996
291400 Ipirá;0,5219;0,5754;0,5294
291410 Ipupiara;0,545;0,6175;0,5052
291420 Irajuba;0,5292;0,5248;0,5236
291430 Iramaia;0,5;0,4809;0,5048
291440 Iraquara;0,544;0,5664;0,6175
291450 Irará;0,5747;0,584;0,4993
291460 Irecê;0,6091;0,6035;0,5995
291465 Itabela;0,6579;0,5497;0,5681
291470 Itaberaba;0,5853;0,5916;0,5905
291480 Itabuna;0,6979;0,6311;0,5745
291490 Itacaré;0,628;0,5834;0,5545
291500 Itaeté;0,5084;0,6146;0,549
291510 Itagi;0,4925;0,6246;0,4783
291520 Itagibá;0,5709;0,5409;0,4955
291530 Itagimirim;0,5927;0,5935;0,5277
291535 Itaguaçu da Bahia;0,4006;0,5591;0,5369
291540 Itaju do Colônia;0,4955;0,5482;0,4825
291550 Itajuípe;0,6148;0,5746;0,5008
291560 Itamaraju;0,6401;0,5762;0,558
291570 Itamari;0,7154;0,5877;0,5232
291580 Itambé;0,6293;0,4389;0,4135
291590 Itanagra;0,4776;0,5708;0,6354
291600 Itanhém;0,5722;0,5887;0,5424
291610 Itaparica;0,5282;0,5814;0,6035
291620 Itapé;0,537;0,4795;0,4792
291630 Itapebi;0,5121;0,5274;0,4964
291640 Itapetinga;0,6382;0,5857;0,4962
291650 Itapicuru;0,4757;0,5718;0,5499
291660 Itapitanga;0,625;0,5498;0,4443
291670 Itaquara;0,5024;0,494;0,5708
291680 Itarantim;0,4691;0,5661;0,5181
291685 Itatim;0,4769;0,5532;0,4709
291690 Itiruçu;0,5053;0,6354;0,5039
291700 Itiúba;0,5075;0,6349;0,5698
291710 Itororó;0,5576;0,5601;0,4639
291720 Ituaçu;0,6061;0,6057;0,5274
291730 Ituberá;0,5993;0,5843;0,5114
291733 Iuiú;0,5126;0,5678;0,4716
291735 Jaborandi;0,4865;0,5997;0,6354
291740 Jacaraci;0,429;0,5833;0,4762
