Num_Infracao;Infracao_Descricao;Responsavel;Valor_Multa;;Orgao_Autuador;Artigo;
76172;"Usar qualquer veículo para, deliberadamente,
restringir a circulação na via sem autorização do órgão";Condutor;5864,4;Consultar CTB;Municipal/Rodov;253-A;
76173;Usar qualquer veículo para, deliberadamente, perturbar a circulação na via sem autorização do orgão;Condutor;5864,4;Consultar CTB;Municipal/Rodov;253-A;
50020;"Multa, por não identificação do condutor infrator,
imposta à pessoa jurídica";Proprietário;0;Consultar CTB;Est/Munic/Rodov;257, § 8º;
74801;"Aprovar proj edificação pólo atrativo trânsito s/
anuência órgão/entid trânsito";Serv. público;0;Consultar CTB;Municipal/Rodov;93 c/c 95, § 4º;
74802;"Aprovar proj edificação pólo atrativo trâns s/
estacion/indicação vias de acesso";Serv. público;0;Consultar CTB;Municipal/Rodov;93 c/c 95, § 4º;
74980;Ñ sinalizar devida/imed obstáculo à circul/segurança veíc/pedestre pista/calçada;Serv. público;0;Consultar CTB;Municipal/Rodov;94;
75010;"Utilizar ondulação transversal/sonorizador fora
padrão/critério estab p/ Contran";Serv. público;0;Consultar CTB;Municipal/Rodov;"94, parágrafo
único";
75101;Iniciar obra perturbe/interrompa circulação/segurança veíc/pedestres s/permissão;Proprietário;0;Consultar CTB;Municipal/Rodov;95;
75102;"Iniciar evento perturbe/interrompa
circulaç/segurança veíc/pedestres s/permissão";Proprietário;0;Consultar CTB;Municipal/Rodov;95;
75281;Não sinalizar a execução ou manutenção da obra;Proprietário;0;Consultar CTB;Municipal/Rodov;95, § 1º;
75282; Não sinalizar a execução ou manutenção do evento;Proprietário;0;Consultar CTB;Municipal/Rodov;95, § 1º;
76019;Organizar a conduta prevista no caput art.253-A ;PF ou PJ;17608,2;Consultar o CTB;Municipal/Rodov;art.253-A ;
76251;Estacionar nas vagas reserv às pess c/ deficiência, s/ credencial;Condutor;293,47;Consultar o CTB;Municipal/Rodov;181, XX;
76252;Estacionar nas vagas reserv a idosos, s/ credencial;Condutor;293,47;Consultar o CTB;Municipal/Rodov;181, XX;
76331;Dirigir veículo segurando telefone celular;Condutor;293,47;Consultar o CTB;Est/Munic/Rodov;252, § único;
76332;Dirigir veículo manuseando telefone celular;Condutor;293,47;Consultar o CTB;Est/Munic/Rodov  Consultar o CTB;;
51691;Dirigir sob a influência de álcool;Condutor;293,47;Consultar o CTB;Estadual/Rodov;165;
51692;Dirigir sob influência de qualquer outra substância que determine dependência;Condutor;293,47;Consultar o CTB;Estadual/Rodov;165;
52151;Dirigir ameaçando os pedestres que estejam atravessando a via pública;Condutor;293,47;Consultar o CTB;Est/Munic/Rodov;170;
52152;Dirigir ameaçando os demais veículos;Condutor;293,47;Consultar o CTB;Est/Munic/Rodov;170;
52400;Disputar corrida;Condutor;293,47;Consultar o CTB;Estadual/Rodov;173;
52662;Participar na via como condutor em eventos organizados sem permissão;Condutor;293,47;Consultar o CTB;Estadual/Rodov;174;
52663;Paticipar como condutor exib/demonst períc manobra de veic, s/ permissão;Condutor;293,47;Consultar o CTB;Estadual/Rodov;174;
65561;"Conduzir o veículo com o lacre de identificação
violado/falsificado";Proprietário;293,47;Consultar o CTB;Estadual/Rodov;230 * I;
65562;"Conduzir o veículo com a inscrição do chassi
violada/falsificada";Proprietário;293,47;Consultar o CTB;Estadual/Rodov;230 * I;
65563;Conduzir o veículo com o selo violado/falsificado;Proprietário;293,47;Consultar o CTB;Estadual/Rodov;230 * I;
65564;Conduzir o veículo com a placa violada/falsificada;Proprietário;293,47;Consultar o CTB;Estadual/Rodov;230 * I;
65565;Conduzir o veículo com qualquer outro elem de identificação violado/falsificado;Proprietário;293,47;Consultar o CTB;Estadual/Rodov;230 * I;
65640;"Conduzir o veículo transportando passageiros em
compartimento de carga";Condutor;293,47;Consultar o CTB;Municipal/Rodov;230 * II;
65720;Conduzir o veículo com dispositivo anti-radar;Proprietário;293,47;Consultar o CTB;Estadual/Rodov;230 * III;
65800;"Conduzir o veículo sem qualquer uma das placas
de identificação";Proprietário;293,47;Consultar o CTB;Estadual/Rodov;230 * IV;
65991;Conduzir o veículo que não esteja registrado;Proprietário;293,47;Consultar o CTB;Estadual/Rodov;230 * V;
65992;"Conduzir o veículo registrado que não esteja
devidamente licenciado";Proprietário;293,47;Consultar o CTB;Estadual/Rodov;230 * V;
66020;Conduzir o veículo com qualquer uma das placas sem legibilidade e visibilidade;Proprietário;293,47;Consultar o CTB;Estadual/Rodov;230 * VI;
67770;"Transitar com o veículo danificando a via, suas
instalações e equipamentos";Condutor;293,47;Consultar o CTB;Municipal/Rodov;231 * I;
67851;Transitar com veículo derramando a carga que esteja transportando;Condutor;293,47;Consultar o CTB;Municipal/Rodov;231 * II * a;
67852;"Transitar com veículo lançando a carga que esteja
transportando";Condutor;293,47;Consultar o CTB;Municipal/Rodov;231 * II * a;
67853;Transitar com veículo arrastando a carga que esteja transportando;Condutor;293,47;Consultar o CTB;Municipal/Rodov;231 * II * a;
67930;"Transitar com veíc derramando/lançando
combustível/lubrif que esteja utilizando";Condutor;293,47;Consultar o CTB;Municipal/Rodov;231 * II * b;
68070;Transitar c/veíc derraman/lançando/arrastando objeto possa acarretar risco acid;Condutor;293,47;Consultar o CTB;Municipal/Rodov;231 * II * c;
69040;"Transitar com o veículo excedendo a CMT acima
de 1.000 kg";Proprietário;293,47;Consultar o CTB;Municipal/Rodov;231 * X;
69391;Falsificar ou adulterar documento de habilitação;Condutor;293,47;Consultar o CTB;Estadual/Rodov;234;
69392;"Falsificar ou adulterar documento de identificação
do veículo";Condutor;293,47;Consultar o CTB;Estadual/Rodov;234;
69710;Recusar-se a entregar CNH/CRV/CRLV/ outros documentos;Condutor;293,47;Consultar o CTB;Estadual/Rodov;238;
60173;"Executar operação de retorno passando por cima
de ajardinamento";Condutor;293,47;Consultar o CTB;Municipal/Rodov;206 * III;
60174;Executar operação de retorno passando por cima de canteiro de divisor de pista;Condutor;293,47;Consultar o CTB;Municipal/Rodov;206 * III;
60175;"Executar operação de retorno passando por cima
de faixa de pedestres";Condutor;293,47;Consultar o CTB;Municipal/Rodov;206 * III;
60176;Executar operação de retorno passando por cima de faixa de veíc não motorizados;Condutor;293,47;Consultar o CTB;Municipal/Rodov;206 * III;
60250;"Executar retorno nas interseções, entrando na
contramão da via transversal";Condutor;293,47;Consultar o CTB;Municipal/Rodov;206 * IV;
60330;Executar retorno c/prejuízo da circulação/segurança ainda que em local permitido;Condutor;293,47;Consultar o CTB;Municipal/Rodov;206 * V;
60501;Avançar o sinal vermelho do semáforo;Condutor;293,47;Consultar o CTB;Municipal/Rodov;208;
60502;Avançar o sinal de parada obrigatória;Condutor;293,47;Consultar o CTB;Municipal/Rodov;208;
60503;"Avançar o sinal vermelho do semáforo -
fiscalização eletrônica";Condutor;293,47;Consultar o CTB;Municipal/Rodov;208;
60920;Deixar de parar o veículo antes de transpor linha férrea;Condutor;293,47;Consultar o CTB;Municipal/Rodov;212;
61060;"Deixar de parar sempre que a marcha for
interceptada por agrupamento de pessoas";Condutor;293,47;Consultar o CTB;Municipal/Rodov;213 * I;
61220;Deixar de dar preferência a pedestre/veic ñ motorizado na faixa a ele destinada;Condutor;293,47;Consultar o CTB;Municipal/Rodov;214 * I;
61300;"Deixar de dar preferência a pedestre/veic ñ mot
que ñ haja concluído a travessia";Condutor;293,47;Consultar o CTB;Municipal/Rodov;214 * II;
61490;Deixar de dar preferência a pedestre port deficiência fís/criança/idoso/gestante;Condutor;293,47;Consultar o CTB;Municipal/Rodov;214 * III;
62620;"Deixar de reduzir a veloc qdo se aproximar de
passeata/aglomeração/desfile/etc";Condutor;293,47;Consultar o CTB;Municipal/Rodov;220 * I;
63941;Deixar de reduzir a velocidade nas proximidades de escolas;Condutor;293,47;Consultar o CTB;Municipal/Rodov;220 * XIV;
63942;"Deixar de reduzir a velocidade nas proximidades
de hospitais";Condutor;293,47;Consultar o CTB;Municipal/Rodov;220 * XIV;
63943;Deixar de reduzir veloc na proxim estação embarque/desembarque passageiros;Condutor;293,47;Consultar o CTB;Municipal/Rodov;220 * XIV;
63944;"Deixar de reduzir veloc onde haja intensa
movimentação de pedestres";Condutor;293,47;Consultar o CTB;Municipal/Rodov;220 * XIV;
58198;Transitar com o veículo em passarelas    ;Condutor;880,41;Consultar o CTB;Municipal/Rodov;193;
58860;Ultrap pela direita veíc transp colet/escolar parado para emb/desemb passageiros;Condutor;293,47;Consultar o CTB;Municipal/Rodov;200;
59080;Ultrapassar pelo acostamento;Condutor;1467,35;Consultar o CTB;Municipal/Rodov;202 * I;
59161;Ultrapassar em interseções;Condutor;1467,35;Consultar o CTB;Municipal/Rodov;202 * II;
59162;Ultrapassar em passagem de nível;Condutor;1467,35;Consultar o CTB;Municipal/Rodov;202 * II;
59241;Ultrapassar pela contramão nas curvas sem visibilidade suficiente;Condutor;1467,35;Consultar o CTB;Municipal/Rodov;203 * I;
59242;"Ultrapassar pela contramão nos aclives ou
declives, sem visibilidade suficiente";Condutor;1467,35;Consultar o CTB;Municipal/Rodov;203 * I;
59320;Ultrapassar pela contramão nas faixas de pedestre;Condutor;1467,35;Consultar o CTB;Municipal/Rodov;203 * II;
59401;Ultrapassar pela contramão nas pontes;Condutor;1467,35;Consultar o CTB;Municipal/Rodov;;
59402;Ultrapassar pela contramão nos viadutos;Condutor;1467,35;Consultar o CTB;Municipal/Rodov;;
59403;Ultrapassar pela contramão nos túneis;Condutor;1467,35;Consultar o CTB;Municipal/Rodov;;
59591;"Ultrapassar pela contramão veículo parado em fila
junto sinal luminoso";Condutor;1467,35;Consultar o CTB;Municipal/Rodov;;
59592;"Ultrapassar pela contramão veículo parado em fila
junto a cancela/porteira";Condutor;880,41;Consultar o CTB;Municipal/Rodov;203 * IV;
59593;"Ultrapassar pela contramão veículo parado em fila
junto a cruzamento";Condutor;1467,35;Consultar o CTB;Municipal/Rodov;203 * IV;
59594;"Ultrapassar pela contramão veíc parado em fila
junto qq impedimento à circulação";Condutor;1467,35;Consultar o CTB;Municipal/Rodov;203 * IV;
59670;"Ultrapassar pela contramão linha de divisão de
fluxos opostos, contínua amarela";Condutor;1467,35;Consultar o CTB;Municipal/Rodov;203 * V;
59910;"Executar operação de retorno em locais proibidos
pela sinalização";Condutor;293,47;Consultar o CTB;Municipal/Rodov;206 * I;
60091;Executar operação de retorno nas curvas;Condutor;293,47;Consultar o CTB;Municipal/Rodov;;
60092;"Executar operação de retorno nos aclives ou
declives";Condutor;293,47;Consultar o CTB;Municipal/Rodov;;
60093;Executar operação de retorno nas pontes;Condutor;293,47;Consultar o CTB;Municipal/Rodov;;
60094;Executar operação de retorno nos viadutos;Condutor;293,47;Consultar o CTB;Municipal/Rodov;;
60095;Executar operação de retorno nos túneis;Condutor;293,47;Consultar o CTB;Municipal/Rodov;;
60171;"Executar operação de retorno passando por cima
de calçada, passeio";Condutor;293,47;Consultar o CTB;Municipal/Rodov;;
60172;Executar operação de retorno passando por cima de ilha, refúgio;Condutor;293,47;Consultar o CTB;Municipal/Rodov;206 * III;
51770;"Confiar/entregar veíc pess c/ estado físico/psíquico
s/ condições dirigir segur";Proprietário;293,47;Consultar o CTB;Estadual/Rodov;166;
51930;"Transportar criança sem observância das normas
de segurança estabelecidas p/ CTB";Condutor;293,47;Consultar o CTB;Est/Munic/Rodov;168;
52581;"Promover na via competição esportiva sem
permissão";Proprietário;2934,7;Consultar o CTB;Municipal/Rodov;174;
52582;"Promover na via eventos organizados sem
permissão";Proprietário;2934,7;Consultar o CTB;Municipal/Rodov;174;
52583;"Promover na via exibição e demonstração de
perícia em manobra de veículo s/perm";Proprietário;2934,7;Consultar o CTB;Municipal/Rodov;174;
54281;Estacionar na pista de rolamento das estradas;Condutor;293,47;Consultar o CTB;Municipal/Rodov;181 * V;
54282;Estacionar na pista de rolamento das rodovias;Condutor;293,47;Consultar o CTB;Municipal/Rodov;181 * V;
54283;"Estacionar na pista de rolamento das vias de
trânsito rápido";Condutor;293,47;Consultar o CTB;Municipal/Rodov;181 * V;
54284;"Estacionar na pista de rolamento das vias dotadas
de acostamento";Condutor;293,47;Consultar o CTB;Municipal/Rodov;181 * V;
57380;"Transitar pela contramão de direção em via c/
sinalização de regul sentido único";Condutor;293,47;Consultar o CTB;Municipal/Rodov;186 * II;
57701;"Deixar de dar passagem a veíc precedido de
batedores devidamente identificados";Condutor;293,47;Consultar o CTB;Est/Munic/Rodov;189;
57702;"Deixar de dar passagem a veíc socorro
incêndio/salv serv urgência devid identif";Condutor;293,47;Consultar o CTB;Est/Munic/Rodov;189;
57703;"Deixar de dar passagem a veíc de polícia em
serviço de urgência devid identif";Condutor;293,47;Consultar o CTB;Est/Munic/Rodov;189;
57704;"Deixar de dar passagem a veíc de operação e
fiscalização de trânsito devid ident";Condutor;293,47;Consultar o CTB;Est/Munic/Rodov;189;
57705;"Deixar de dar passagem a ambulância em serviço
de urgência devid identificada";Condutor;293,47;Consultar o CTB;Est/Munic/Rodov;189;
58191;Transitar com o veículo em calçadas, passeios;Condutor;880,41;Consultar o CTB;Municipal/Rodov;193;
58192;Transitar com o veículo em ciclovias, ciclofaixas;Condutor;880,41;Consultar o CTB;Municipal/Rodov;193;
58193;"Transitar com o veículo em ajardinamentos,
gramados, jardins públicos";Proprietário;880,41;Consultar o CTB;Municipal/Rodov;193;
58194;"Transitar com o veículo em canteiros
centrais/divisores de pista de rolamento";Condutor;880,41;consultar o CTB;Municipal/Rodov;193;
58195;Transitar com o veículo em ilhas, refúgios;Condutor;880,41;Consultar o CTB;Municipal/Rodov;193;
58196;Transitar com o veículo em marcas de canalização;Condutor;880,41;Consultar o CTB;Municipal/Rodov;193;
58197;Transitar com o veículo em acostamentos;Condutor;880,41;Consultar o CTB;Municipal/Rodov;193;
50610;Entregar veículo a pessoa sem CNH/PPD/ACC;Proprietário;880,41;Consultar o CTB;Estadual/Rodov;163 c/c 162 * I;
50701;"Entregar veículo a pessoa com CNH/PPD/ACC
cassada";Proprietário;1467,35;Consultar o CTB;Estadual/Rodov;163 c/c 162 * II;
50702;"Entregar veículo a pessoa com CNH/PPD/ACC
com susp. do direito de dirigir";Proprietário;1467,35;Consultar o CTB;Estadual/Rodov;163 c/c 162 * II;
50881;Entregar veículo a pessoa com CNH de categoria diferente da do veículo;Proprietário;880,41;Consultar o CTB;Estadual/Rodov;163 c/c 162 * III;
50882;"Entregar veículo a pessoa com PPD de categoria
diferente da do veículo";Proprietário;880,41;Consultar o CTB;Estadual/Rodov;163 c/c 162 * III;
50960;Entregar veículo a pessoa com CNH/PPD vencida há mais de 30 dias;Proprietário;293,47;Consultar o CTB;Estadual/Rodov;163 c/c 162 * V;
51001;"Entregar o veículo a pessoa sem usar lentes
corretoras de visão";Proprietário;293,47;Consultar o CTB;Estadual/Rodov;163 c/c 162 * VI;
51002;Entregar o veículo a pessoa sem usar aparelho auxiliar de audição;Proprietário;293,47;Consultar o CTB;Estadual/Rodov;163 c/c 162 * VI;
51003;"Entregar o veículo a pessoa sem aparelho de
prótese física";Proprietário;293,47;Consultar o CTB;Estadual/Rodov;163 c/c 162 * VI;
51004;Entregar veíc pessoa s/ adaptações impostas concessão/renovação licença conduzir;Proprietário;293,47;Consultar o CTB;Estadual/Rodov;163 c/c 162 * VI;
51180;"Permitir posse/condução do veículo a pessoa sem
CNH/PPD/ACC";Proprietário;880,41;Consultar o CTB;Estadual/Rodov;164 c/c 162 * I;
51261;"Permitir posse/condução do veículo a pessoa com
CNH/PPD/ACC cassada";Proprietário;1467,35;Consultar o CTB;Estadual/Rodov;164 c/c 162 * II;
