Num_Infracao;Infracao_Descricao;Responsavel;Valor_Multa;;Orgao_Autuador;Artigo;
68820;"Transitar com o veículo excedendo a CMT em até
600 kg";Proprietário;130,16;Consultar o CTB;Municipal/Rodov;231 * X;
69550;Rebocar outro veículo com cabo flexível ou corda;Condutor;130,16;Consultar o CTB;Municipal/Rodov;236;
70562;Conduzir ciclo fazendo malabarismo ou equilibrando-se em uma roda;Condutor;130,16;Consultar o CTB;Municipal/Rodov;244 * III c/c §1º;
70992;"Conduzir ciclo sem segurar o guidom com ambas
as mãos";Condutor;130,16;Consultar o CTB;Municipal/Rodov;244 * VII c/c §1º;
71022;Conduzir ciclo transportando carga incompatível;Condutor;130,16;Consultar o CTB;Municipal/Rodov;"244 * VIII c/c
§1º";
71100;"Conduzir ciclo transportando passageiro fora da
garupa/assento a ele destinado";Condutor;130,16;Consultar o CTB;Municipal/Rodov;244 * §1º * a;
71291;Conduzir ciclo via de trâns rápido ou rodovia salvo se houver acostam/fx própria;Condutor;130,16;Consultar o CTB;Municipal/Rodov;244 * §1º * b;
71292;Conduzir ciclomotor em via de trânsito rápido;Condutor;130,16;Consultar o CTB;Municipal/Rodov;244 * §2º;
71293;Conduzir ciclomotor em rodovia salvo se houver acostamento ou faixa própria;Condutor;130,16;Consultar o CTB;Municipal/Rodov;244 * §2º;
71370;"Conduzir ciclo transportando criança s/ condição de
cuidar própria segurança";Condutor;130,16;Consultar o CTB;Municipal/Rodov;244 * §1º * c;
64240;Deixar de manter ligado em emergência o sistema ilum vermelha intermitente ainda que parado  ;Condutor;130,16;Consultar o CTB;Municipal/Rodov;222;
73150;Dirigir o veículo com o braço do lado de fora;Condutor;130,16;Consultar o CTB;Municipal/Rodov;222;
73662;Dirigir veículo utilizando-se de telefone celular;Condutor;130,16;Consultar o CTB;Est/Munic/Rodov;252 * VI;
74472;Conduzir bicicleta de forma agressiva;Condutor;130,16;Consultar o CTB;Municipal/Rodov;255;
54522;Estacionar sobre faixa destinada a pedestre;Condutor;195,23;Consultar o CTB;Municipal/Rodov;181 * VIII;
54523;Estacionar sobre ciclovia ou ciclofaixa;Condutor;195,23;Consultar CTB;Municipal/Rodov;181 * VIII;
54524;Estacionar nas ilhas ou refúgios;Condutor;195,23;Consultar CTB;Municipal/Rodov;181 * VIII;
54525;"Estacionar ao lado ou sobre canteiro
central/divisores de pista de rolamento";Condutor;195,23;Consultar o CTB;Municipal/Rodov;181 * VIII;
54526;Estacionar ao lado ou sobre marcas de canalização;Condutor;195,23;Consultar CTB;Municipal/Rodov;181 * VIII;
54527;"Estacionar ao lado ou sobre gramado ou jardim
público";Condutor;195,23;Consultar o CTB;Municipal/Rodov;181 * VIII;
51851;Deixar o condutor de  usar o cinto de segurança;Condutor;195,23;Consultar o CTB;Municipal/Rodov;167;
51852;Deixar o passageiro de usar o cinto de segurança;Condutor;195,23;Consultar o CTB;Municipal/Rodov;167;
53390;Deixar o condutor de prestar socorro vítima acidente de trânsito, qdo solicit p/ agente ;Condutor;195,23;Consultar o CTB;Municipal/Rodov;177;
53550;Fazer ou deixar que se faça reparo em veículo, em rodovia e via de trânsito rápido;Condutor;195,23;Consultar o CTB;Municipal/Rodov;179;
54010;Estacionar afastado da guia da calçada (meio-fio) a mais de 1m;Condutor;195,23;Consultar o CTB;Municipal/Rodov;181;
54521;Estacionar no passeio;Condutor;195,23;Consultar o CTB;Municipal/Rodov;181;
54870;Estacionar ao lado de outro veículo em fila dupla;Condutor;195,23;Consultar CTB;Municipal/Rodov;181 * XI;
54950;Estacionar na área de cruzamento de vias;Condutor;195,23;Consultar CTB;Municipal/Rodov;181 * XII;
55171;Estacionar nos viadutos;Condutor;195,23;Consultar o CTB;Municipal/Rodov;181 * XIV;
55172;Estacionar nas pontes;Condutor;195,23;Consultar CTB;Municipal/Rodov;181 * XIV;
55173;Estacionar nos túneis;Condutor;195,23;Consultar CTB;Municipal/Rodov;181 * XIV;
55330;Estacionar aclive/declive não freado e sem calço segurança, PBT superior a 3500kg;Condutor;195,23;Consultar CTB;Municipal/Rodov;181 * XVI;
55411;Estacionar em desacordo com a regulamentação especificada pela sinalização;Condutor;195,23;Consultar o CTB;Municipal/Rodov;181 * XVII;
55412;Estacionar em desacordo com a regulamentação - estacionamento rotativo;Condutor;195,23;Consultar o CTB;Municipal/Rodov;181 * XVII;
55413;Estacionar em desacordo com a regulamentação - ponto ou vaga de táxi;Condutor;195,23;Consultar o CTB;Municipal/Rodov;181 * XVII;
55414;Estacionar em desacordo com a regulamentação - vaga de carga/descarga;Condutor;195,23;Consultar o CTB;Municipal/Rodov;181 * XVII;
55417;Estacionar em desacordo com a regulamentação - vaga de curta duração;Condutor;195,23;Consultar o CTB;Municipal/Rodov;181 * XVII;
55680;Estacionar local/horário de estacionamento e parada proibidos pela sinalização;Condutor;195,23;Consultar CTB;Municipal/Rodov;181 * XIX;
56141;Parar na pista de rolamento das estradas;Condutor;195,23;Consultar CTB;Municipal/Rodov;182 * V;
56142;Parar na pista de rolamento das rodovias;Condutor;195,23;Consultar o CTB;Municipal/Rodov;182 * V;
56143;Parar na pista de rolamento das vias de trânsito rápido;Condutor;195,23;Consultar CTB;Municipal/Rodov;182 * V;
56144;Parar na pista de rolamento das demais vias dotadas de acostamento;Condutor;195,23;Consultar CTB;Municipal/Rodov;182 * V;
56900;Transitar na faixa/pista da esquerda regul circulação exclusiva determ veículo;Condutor;195,23;Consultar CTB;Municipal/Rodov;184 * II;
57200;Transitar pela contramão de direção em via com duplo sentido de circulação;Condutor;195,23;Consultar CTB;Municipal/Rodov;186 * I;
57890;"Seguir veículo em serv urgência devid identific p/
alarme sonoro/ilum vermelha";Condutor;195,23;Consultar CTB;Municipal/Rodov;190;
58000;"Deixar guardar dist segurança lat/front entre seu
veículo e demais e ao bordo pista";Condutor;195,23;Consultar CTB;Municipal/Rodov;192;
58270;"Transitar em marcha ré, salvo na distância
necessária a pequenas manobras";Condutor;195,23;Consultar CTB;Municipal/Rodov;194;
58350;Desobedecer às ordens emanadas da autorid compet de trânsito ou de seus agentes;Condutor;195,23;Consultar o CTB;Est/Munic/Rodov;195;
60683;Evadir-se para não efetuar o pagamento do pedágio;Condutor;195,23;Consultar o CTB;Est/Munic/Rodov;209;
69204;Deixar de efetuar registro de veículo em 30 dias, qdo houver mudança de categoria;Proprietário;195,23;Consultar CTB;Estadual;233 c/c 123, IV;
69471;Conduzir pessoas nas partes externas do veículo;Condutor;195,23;Consultar CTB;Municipal/Rodov;235;
69472;Conduzir animais nas partes externas do veículo;Condutor;195,23;Consultar CTB;Municipal/Rodov;235;
69473;Conduzir carga nas partes externas do veículo;Condutor;195,23;Consultar CTB;Municipal/Rodov;235;
69630;Trans com veículo desac c/especificação/falta de inscr/simbologia necessária identif;Proprietário;195,23;Consultar CTB;Estadual/Rodov;237;
69980;"Deixar responsável de promover baixa registro de
veíc irrecuperável/desmontado";Proprietário;195,23;Consutar CTB;Estadual;240;
70210;Deixar seguradora de comunicar ocorrência perda total veíc e devolver placas/doc;P. jurídica;195,23;Consultar CTB;Estadual;243;
70800;"Conduzir motocicleta, motoneta e ciclomotor
rebocando outro veículo";Condutor;195,23;Consultar CTB;Municipal/Rodov;244 * VI;
70991;Conduzir motocicleta/motoneta/ciclomotor sem segurar o guidom com ambas as mãos;Condutor;195,23;Consultar CTB;Municipal/Rodov;244 * VII;
71021;"Conduzir motocicleta, motoneta e ciclomotor
transportando carga incompatível";Condutor;195,23;Consultar CTB;Municipal/Rodov;244 * VIII;
75600;Conduzir veíc de transp passag ou carga em desacordo c/ as cond do art 67-A CTB;Condutor;195,23;Consultar CTB;Municipal/Rodov;230, XXIII;
50100;Dirigir veículo sem possuir CNH/PPD/ACC;Condutor;880,41;Consultar o CTB;Estadual/Rodov;162 * I;
50291;Dirigir veículo com CNH/PPD/ACC cassada;Condutor;1467,35;Consultar o CTB;Estadual/Rodov;162 * II;
50292;"Dirigir veículo com CNH/PPD/ACC com suspensão
do direito de dirigir";Condutor;1467,35;Consultar o CTB;Estadual/Rodov;162 * II;
50371;Dirigir veículo com CNH de categoria diferente da do veículo;Condutor;880,41;Consultar o CTB;Estadual/Rodov;162 * III;
50372;"Dirigir veículo com PPD de categoria diferente da
do veículo";Condutor;880,41;Consultar o CTB;Estadual/Rodov;162 * III;
50450;Dirigir veículo com validade de CNH/PPD vencida há mais de 30 dias;Condutor;293,47;Consultar o CTB;Estadual/Rodov;162 * V;
50531;Dirigir veículo sem usar lentes corretoras de visão;Condutor;293,47;Consultar o CTB;Estadual/Rodov;162 * VI;
50532;"Dirigir veículo sem usar aparelho auxiliar de
audição";Condutor;293,47;Consultar o CTB;Estadual/Rodov;162 * VI;
50533;"Dirigir veículo sem usar aparelho auxiliar de
prótese física";Condutor;293,47;Consultar o CTB;Estadual/Rodov;162 * VI;
50534;"Dirigir veículo s/ adaptações impostas na
concessão/renovação licença conduzir";Condutor;293,47;Consultar o CTB;Estadual/Rodov;162 * VI;
69800;Retirar do local veículo legalmente retido para regularização, sem permissão ;Condutor;293,47;Consultar o CTB;Estadual/Rodov;239;
71532;Obstaculizar a via indevidamente-s/agravamento;PF ou PJ;293,47;Consultar CTB;Municipal/Rodov;246;
71612;Obstaculizar a via indevidamente-agravamento 2X;PF ou PJ;880,41;Consultar o CTB;Municipal/Rodov;246;
71702;Obstaculizar a via indevidamente-agravamento 3X;PF ou PJ;880,41;Consultar o CTB;Municipal/Rodov;246;
71882;Obstaculizar a via indevidamente-agravamento 4X;PF ou PJ;1467,35;Consultar o CTB;Municipal/Rodov;246;
71962;Obstaculizar a via indevidamente-agravamento 5X;PF ou PJ;1467,35;Consultar o CTB;Municipal/Rodov;246;
73740;Bloquear a via com veículo;Condutor;293,47;Consultar o CTB;Municipal/Rodov;253;
60760;Transpor bloqueio viário policial;Condutor;293,47;Consultar o CTB;Est/Munic/Rodov;210;
