momentum,m_inicio,m_fim
Madrugada;00:00;04:59
Rush_mat;05:00;08:30
Manhã;08:31;11:29
Almoço;11:30;13:30
Tarde;13:31;17:30
Rush_ves;17:31;19:00
Horário Nobre;19:01;21:30
Noite;21:31;23:59
